Phrase,Neighbours
1991 left mips ii,"first mips iii implementation, mips ii implementations, mips computer systems, mips architecture, bit mips iii architecture, first mips implementation, early mips architectures, bit mips processors, bit mips architecture, often left"
1996  evolutionary algorithms,"evolutionary algorithms, evolutionary algorithms applied, many evolutionary algorithms, evolutionary computation, genetic algorithms, evolutionary approach, evolutionary programming, time genetic algorithms within, possible algorithms, various algorithms"
1996 maiden flight,1996 paper written
1996 paper written,"original 1924 paper, paper gives, research paper published, research paper, survey paper, protection paper, paper explicitly addressing transfer learning, 1996 maiden flight, 1996  evolutionary algorithms, hand written assembly code"
1997 raised questions,questions emerging
19mips computer systems,"computer systems, computer programs, computer processors, computer architectures, computer hardware unit, computer using, computer architecture, digital computer, computer program, computer terminals"
2 define generic models,"generic concept, generic functions implemented, generic programming, generic process, models need, obtain generic algorithms, reference models, generative models, generalized additive models, dynamic models"
2 fuzzy ontology,"specific ontology consisting, fuzzy system independently, fuzzy set, fuzzy description logics, fuzzy set defined, fuzzy markup language, fuzzy class, fuzzy markup language edited, fuzzy sets, studied fuzzy control"
2000s era music reproduction technology,"modern technology, underlying technology, fashion technology, technology information, technology perspective, wearable technology, information technology, information technology methods, 2012 information technology common language infrastructure, object recognition technology"
2007  algorithmic mechanism design,"algorithmic mechanism design, algorithmic mechanism design differs, algorithmic design, algorithm design technique, design systems, systems design, design principle, systems design could, experimental design, design principles"
2010 lexus hs 250h,2010 lexus rx 350
2010 lexus rx 350,2010 lexus hs 250h
2012 information technology common language infrastructure,"common language infrastructure, common language infrastructure standards, computer language, information technology, information technology methods, language model, hardware description language, statistical language model, technology information, common language runtime"
2016  digital empathy,"digital empathy, digital empathy finds, digital empathy define digital empathy, empathy compassion, support digital research, digital data, digital information, similar digital, digital network, digital communication systems"
2021 video narrated,"video lecture, video sequence, video game rehabilitation benefit, using video game rehabilitation, video game rehabilitation focuses, top video streaming service owned, amazon prime video"
20th century,20th century popular cryptography books e
20th century popular cryptography books e,20th century
21st century,"21st century also, early twentieth century"
21st century also,"21st century, early twentieth century, also come, also influential, early 1970s also took place, also known, also used extensively, also used, also pondered, also use"
250 million images,"000 testing images, complex images, 000 training images, google images, since images, images representing letters, process digital images, plessey system 250"
257 zilog z8001 microprocessors,"bit microprocessors, order execution microprocessors"
264 decoders always support quarter,"whereas noise always degrades, always simplified, also support, explicit support, squares support, always show, almost always subject, using support, always expected, always done"
3 - tight graphs,"1 - tight graphs, corresponding graphs, 1 - sparse graphs, directed graphs, simple directed graphs, directed graphs without loops, k - sparse graphs, allows directed graphs, 0 - sparse graphs, allow directed graphs"
3d computer graphics,"rendering realistic 3d computer graphics, computer graphics, computer graphics need, 1 computer graphics system, 3d coordinate system, graphics processing unit, information graphics, 3d user interaction, 3d user interaction system, 3d user interaction systems"
3d coordinate system,"3d computer graphics, 3d core graphics system, coordinate systems via diffeomorphisms, rendering realistic 3d computer graphics, coordinate systems transformed, graphics system, gps navigation system screen, 1 computer graphics system, 3d user interaction system, 3d user interaction systems"
3d core graphics system,"graphics system, 1 computer graphics system, 3d coordinate system, graphics processing unit, graphics system may combine, 3d user interaction system, core processor, core algorithms, core algorithm concepts, single core"
3d user interaction,"3d user interaction techniques, 3d user interaction system, 3d user interaction systems, mixed reality user interfaces workshop, computer interaction, humancomputer interaction, user interfaces, user interface, interaction designs, user interface structure"
3d user interaction system,"3d user interaction systems, 3d user interaction, 3d user interaction techniques, mixed reality user interfaces workshop, computer interaction, user interfaces, user interface, humancomputer interaction, user interface software, User interface design"
3d user interaction systems,"3d user interaction system, 3d user interaction, 3d user interaction techniques, computer interaction, humancomputer interaction, interaction designs, similar disciplines like interaction design, square automatic interaction detection, 3d computer graphics, chi-square automatic interaction detection"
3d user interaction techniques,"3d user interaction, 3d user interaction system, 3d user interaction systems, mixed reality user interfaces workshop, user interfaces, computer interaction, interaction designs, humancomputer interaction, user interface, similar disciplines like interaction design"
3rd generation mobile networks,"provide suitable mobile networking technology, future mobile, mobile computing devices, mobile ad hoc networks, terrestrial networks, mobile software agent, rbf networks, distributed key generation, signal generation, next generation commodity computing platform"
6 - sparse graph,"sparse graph, 1 - sparse graphs, 0 - sparse graphs, k - sparse graphs, sparse grid, sparse grids, sparse structure, finite graph, finite simple graph, large sparse matrices"
6 lightweight cryptography,"lightweight software, lightweight formal methods, lightweight application, sometimes called lightweight markup languages, 6 - sparse graph, windows media player 6"
6th dimensions,"two dimensions, cognitive dimensions, cognitive dimensions of notations"
815both types,"many hypothesized types, many types, various types, several different types, specific types, different types, two types, specific types provided, build three types, nullable types"
98 standard test methods,"standard problems solved, open standard developed, formal methods, several methods, methods may, effective methods exist, numeric methods, american standard code, using formal methods, standard low"
aaai press,"mit press, cambridge university press"
abbreviated 6nf,"often abbreviated, often abbreviated sm, often abbreviated data viz"
abelian geometric phases,"abelian statistics, geometric variation inferred, Geometric modeling, geometric median minimizes euclidean distances"
abelian statistics,"abelian geometric phases, computational statistics, though computational statistics, descriptive statistics, statistics community, shape statistics, fermi statistics, fractional statistics, teaching computational statistics"
absolute certainty,"absolute stability, absolute value, absolute position"
absolute position,"relative position, particular position, absolute value, absolute stability, angular position, absolute certainty"
absolute stability,"stability model, absolute certainty, absolute value, absolute position"
absolute value,"maximum value, overall value must, absolute position, primary value, value associated, expected value, absolute certainty, truth value, financial value, absolute stability"
abstract algebra,"using abstract algebra, basic linear algebra, linear algebra, relational algebra, applied linear algebra, abstract question, abstract algorithms, abstract problem, numerical linear algebra, computer algebra"
abstract algorithms,"possible algorithms, algorithms like, specific algorithms, implement algorithms, constructing algorithms, known algorithms, various algorithms, several algorithms, algorithms based, efficient algorithms"
abstract data structures,"abstract data structures receive, data structures, arbitrary data structures, data structure, data abstraction, abstract data types, structured data, abstract data type, evaluate data structures, structured data sets"
abstract data structures receive,"abstract data structures, data structures, arbitrary data structures, abstract data type, evaluate data structures, abstract data types, data abstraction, data structure returns, data structure, structured data"
abstract data type,"abstract data types, abstract graphical data type, abstract data structures, data abstraction, abstract data structures receive, abstract framework, data type defines, data type, abstract interpretation consists, data type provides"
abstract data types,"abstract data type, abstract graphical data type, abstract data structures, data abstraction, abstract framework, abstract data structures receive, data type defines, abstract interpretation consists, data types related, data type"
abstract document pattern,"abstract document pattern allows, document pattern, abstract framework, document content, document types, abstract problem, abstract question, abstract data type, abstract data types, section illustrates abstract interpretation"
abstract document pattern allows,"abstract document pattern, document pattern, abstract framework, abstract interpretation consists, abstract problem, section illustrates abstract interpretation, abstract data types, abstract data type, abstract question, document types"
abstract family,"abstract ideas, abstract family of languages, new family, abstract question, abstract interpretation consists, abstract algebra, abstract framework, using abstract algebra, abstract problem, abstract document pattern"
abstract family of languages,"many languages, formal languages, formal languages studied, programming languages consist, recursively enumerable languages, free languages, oriented languages, programming languages, two languages, many functional programming languages"
abstract framework,"abstract data type, abstract ideas, abstract document pattern, abstract data types, abstract document pattern allows, abstract interpretation consists, abstract question, abstract data structures, abstract machines, section illustrates abstract interpretation"
abstract graphical data type,"abstract data type, abstract data types, abstract data structures, data abstraction, data type, data type provides, data type defines, abstract data structures receive, abstract framework, data representation framework created"
abstract ideas,"abstract framework, core ideas, abstract question, abstract machines, abstract algebra, abstract family, abstract interpretation consists, using abstract algebra, abstract problem, abstract data types"
abstract interpretation consists,"section illustrates abstract interpretation, abstract framework, abstract data types, abstract question, abstract data type, abstract document pattern allows, abstract ideas, abstract algebra, abstract document pattern, using abstract algebra"
abstract machines,"abstract state machines, abstract state machine, abstract algorithms, intelligent machines, abstract framework, abstract ideas, possible machines, abstract question, made machines, make machines"
abstract problem,"abstract question, using abstract algebra, abstract algorithms, abstract algebra, abstract document pattern, abstract ideas, abstract document pattern allows, abstract framework, abstract machines, abstract interpretation consists"
abstract question,"abstract problem, abstract ideas, abstract interpretation consists, abstract framework, abstract algebra, using abstract algebra, section illustrates abstract interpretation, abstract algorithms, abstract document pattern, abstract machines"
abstract state machine,"abstract state machines, abstract machines, finite state machine, finite state machines, state machines, state machine, state machine operating, abstract algorithms, abstract framework, abstract data structures"
abstract state machines,"abstract state machine, abstract machines, finite state machines, state machines, finite state machine, state machine, possible machines, state machine operating, state diagrams require, intelligent machines"
abstraction representing,"function abstraction, data abstraction, various interfaces representing, neural abstraction pyramid, representing solutions, representing floating, data element representing, lines representing, images representing letters"
ac  also known,"also known, slp  also known, also referred, commonly known, sometimes also known, also use, apu  formerly known, originally known, also used, sometimes known"
academic conference,"major conference, annual conference, joint international conference, gordon research conference"
accelerated processing unit,"amd accelerated processing unit, amd accelerated processing units, processing unit, processing power, central processing unit, processing executing, graphics processing unit, batch processing, bit central processing unit, processing points"
access control,"access control system, physically controlling access, bypass access controls, control system based, allow access, access management describes, take control, adaptive control, control moving, first access"
access control system,"access control, control system based, bypass access controls, allow access, fuzzy control system, access management describes, fuzzy control systems, control moving, remote access policy, desired control task"
access information,"contains information, information may, collecting information, use information items, related information used, manage information, managing information, gathering information, information system, provide information based"
access management describes,"access information, access control, access control system, providing shared access, remote access policy specifies, remote access policy, allow access, reducing access time, first access, geographical access control may"
accessing array elements,"contiguously accessed array elements within, array list, dynamic array may use, bit array, simple dynamic array, dynamic array, dynamically allocated array, underlying array, simpler array indexing operation, list elements"
accomplish goals,"achieve goals, accomplishing user goals, umbrella organisation whose goals"
accomplished today,"widely used today, olap systems today, like many consumer cpus today"
accomplishing user goals,"accomplish goals, achieve goals, user desires, user needs, user working, enhance user experience, user research, manage user profiles, user experience design, user input"
account dynamic behaviour,"dynamic models, conventional dynamic memory allocation libraries, dynamic table, implement dynamic sets, special dynamic memory allocation libraries, dynamic predecessor problem, dynamic avoidance, dynamic compilation, solving behaviour, human behaviour explained"
accra declaration,accra declaration confirmed
accra declaration confirmed,accra declaration
acct uri scheme,"uri normalization, web crawlers perform uri normalization, search engines employ uri normalization, deterministic encryption scheme, probabilistic encryption scheme, mit scheme"
accurate identification method,"evaluation method, proof method, alternative method, supervised method, method used, gaussseidel method algorithm, scientific method, software verification method, learning method, simplest method"
accurately provide approximate answers,"use approximate solutions, find approximate solutions, approximate optimal solutions, answers may, generalized answers, provide performance well beyond, approximate inference methods make, provide ways, provide high performance, finds approximate eigenvalues"
achieve goals,"accomplish goals, accomplishing user goals, umbrella organisation whose goals, authors achieve performance double, achieve significant compression, achieve polymorphic behavior"
achieve polymorphic behavior,"polymorphic association, polymorphic recursion, recursive parametrically polymorphic function, necessary employing polymorphic recursion  inference, based program analysis polymorphic recursion, yield intelligent behavior, linear behavior, expected theoretical behavior, encapsulate varying behavior, good behavior"
achieve significant compression,"compression rate, compression schemes, data compression, lossless compression, normalized compression distance, common lossless compression algorithms, almost lossless data compression, lossless compression algorithm, purpose lossless compression algorithm, sometimes called delta compression"
acm sigmetrics 2006,"acm symposium, annual acm symposium, seventh annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, acm trans, fortran usage  acm trans, acm symposium on user interface software and technology, boston 2006 isbn 0"
acm symposium,"annual acm symposium, seventh annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, acm sigmetrics 2006, acm trans, international symposium, acm symposium on user interface software and technology, fortran usage  acm trans"
acm symposium on user interface software and technology,"user interface software, user interface, User interface design, user interface design, user interface design requires, user interface structure, computer interface, human interface device, application programming interface, human interface device class"
acm trans,"fortran usage  acm trans, acm symposium, acm symposium on user interface software and technology, acm sigmetrics 2006, annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, seventh annual acm symposium"
acoustic model,"physical model, mathematical model, language model, electromagnetic acoustic transducer, pronunciation model, statistical language model, model nonlinear processes, specific model, idealized model, structured model"
acoustical devices,"typical devices, input devices  physical environments, many devices, smart electronic devices, advanced micro devices, multiple devices, connects attached devices directly, different input devices, ambient intelligence would allow devices, computational devices proposed"
across concrete examples,"concrete objects, two examples, known examples, important examples, common examples, examples discussed, following examples, simple examples, examples section, computing examples"
acs comb,"acs combinatorial science, acs combinatorial science publishes articles"
acs combinatorial science,"acs combinatorial science publishes articles, combinatorial chemistry, acs comb, combinatorial data analysis, science seeking, computer science fields, field include computational materials science, theorem  computer science, computer science subfields, computer science"
acs combinatorial science publishes articles,"acs combinatorial science, combinatorial chemistry, combinatorial data analysis, theorem  computer science, information science, computer science fields, acs comb, computer science intended, computer science, introductory computer science classes"
action potential firing,"mean firing rate, least action, optimal action, potential inputs, ignoring potential problems, potential source variables, many potential implementations, potential users"
activation function,"activation functions, common activation functions, nonlinear activation functions allow, indicator function ia, important function, function interaction, another function, objective function, exact function, membership function"
activation functions,"activation function, common activation functions, nonlinear activation functions allow, indicator functions, observed immune functions, evaluation functions, functions measuring, complex functions, main functions, odd functions"
active networking,"active networking allows, active networking relates, implementing active networking concepts, unified networking concept, traditional computer networking, autonomic networking, tolerant networking, networking paradigms primarily based upon, delay-tolerant networking, provide suitable mobile networking technology"
active networking allows,"active networking, active networking relates, implementing active networking concepts, unified networking concept, traditional computer networking, tolerant networking, networking paradigms primarily based upon, autonomic networking, delay-tolerant networking, provide suitable mobile networking technology"
active networking relates,"active networking, active networking allows, implementing active networking concepts, unified networking concept, networking paradigms primarily based upon, traditional computer networking, tolerant networking, autonomic networking, new concept called ambient networking, delay-tolerant networking"
activities people perform,"perform work, activities used, everyday life activities, people use, perform tasks, programs often perform, perform single, unintentionally perform, people often produce music, perform lookups"
activities used,"everyday life activities, occasionally used, also used, activities people perform, frequently used, often used, technique used, commonly used, techniques used, used often"
activity following requirements specification,"satisfy specified requirements, programming paradigm whereby fundamental requirements, business requirements, software requirements analysis, specification prescribes, certain formal specification, software decomposition whereby fundamental requirements, specification language, formal specification, also software design specification"
activity involved,"social aspects involved, voice activity detection plays, speech activity detection, voice activity detection, involved merging"
actual performance,"desired performance, specified typical performance, improve performance, human performance, provide high performance, provide performance well beyond, system performance, performance analyzer, compare performance, audio performance"
actual word classification,"classification accuracy, classification criteria, classification performance, output classification, classification problem, statistical classification, classification tasks, multi-label classification, classification algorithms, independent classification tasks"
actually define,"longer completely define, actually encodes information, authors define, leading ai textbooks define, 2 define generic models, digital empathy define digital empathy"
actually encodes information,"encodes differences, access information, information architecture, communicate information clearly, corresponding information systems, information interchange, related information used, contains information, transmit information concerning e, collecting information"
actuated joints,
adaptive control,"adaptive systems, control system based, control moving, control theory, adaptive filters, model predictive control, adaptive methods, take control, stochastic optimal control, fuzzy control systems"
adaptive equalizer,"adaptive equalizers, adaptive filters, adaptive methods, adaptive systems, adaptive control, adaptive predictive coding, adaptive huffman coding, greedy randomized adaptive search procedure, using adaptive sparse grids"
adaptive equalizers,"adaptive equalizer, adaptive filters, adaptive methods, adaptive systems, adaptive control, adaptive predictive coding, adaptive huffman coding, using adaptive sparse grids, greedy randomized adaptive search procedure"
adaptive filters,"digital filters, adaptive control, adaptive methods, adaptive equalizer, adaptive equalizers, adaptive systems, adaptive predictive coding, composition filters, adaptive huffman coding, greedy randomized adaptive search procedure"
adaptive huffman coding,"huffman coding, adaptive predictive coding, adaptive filters, coding theory, adaptive equalizer, adaptive equalizers, temporal coding, address windowing extensions coding example, range coding, temporal coding supplies"
adaptive methods,"adaptive systems, based methods, efficient methods known, adaptive filters, adaptive control, effective methods exist, two methods, methods including, adaptive equalizers, adaptive equalizer"
adaptive predictive coding,"adaptive huffman coding, adaptive filters, predictive analytics, predictive model, adaptive systems, adaptive equalizer, adaptive equalizers, model predictive control, adaptive methods, adaptive control"
adaptive systems,"adaptive control, adaptive methods, artificial systems, based systems, similar systems, systems used, systems engineering, adaptive filters, systems design, systems architecture"
add two numbers,"adding two n, given two integers n, assigning numbers, integer numbers, first add, point numbers, simple rational numbers, natural numbers starting, two elements, called two"
added together,"bring together, works together, work together, deployed together, nonempty set together, integer programming together, drawing together humanists engaged, together mcdowell"
adder units,"basic units, unanalyzable units, select adder, redundant functional units, select adder generally consists, gated recurrent units"
adding edges,"multiple edges, directed edges often called arcs, uses bidirected edges, edges whose removal would partition, adding two n, adding potentially non"
adding potentially non,"adding two n, potentially involving, potentially poses problems, selecting potentially useful solutions, quantized non, openly criticized non, adding edges, potentially heterogeneous implementations depending, potentially malicious devices"
adding two n,"add two numbers, given two integers n, called two, two specific sets, two parts, two letters, two elements, adding potentially non, two convex sets, two distinct"
additional information,"necessary information, related information used, information may, contains information, gathering information, limited information, online information, required information content, storing additional information, information interchange"
additional radio receiver,"additional information, storing additional information, additional storage much less, additional writes"
additional storage much less,"decreased storage requirements, storage space, storage details, intermediate storage, data storage, significantly less space, takes significantly less space, complex number storage, less costly, much less"
additional writes,"additional information, storing additional information, additional storage much less, additional radio receiver"
additionally requires,"requires finding, class requires, reasoning requires, requires manipulation, optimization software requires, user interface design requires, security vulnerability requires e, using artificial neural networks requires, smoothness assumption additionally yields, since static hashing requires"
additive guarantee,"generalized additive model, generalized additive models"
address complex real,"address space, real number, virtual address space, real numbers, complex functions, real op, several real networks, limited address space, complex extensions exist, virtual memory address space"
address pool,"address pool may, ip address pool, ipv6 address pool, address space, entire data pool, total ipv4 address pool contains 4294967296, limited address space, ip address, virtual address space, mac address"
address pool may,"address pool, ip address pool, ipv6 address pool, entire data pool, total ipv4 address pool contains 4294967296, address space, banking application may, limited address space, ip address, mac address"
address space,"limited address space, virtual address space, virtual memory address space, address complex real, code space, ip address, address pool, problem space, ip address pool, space available"
address windowing extensions coding example,"defines extensions, including software coding standards, adaptive huffman coding, coding theory, example input, example strings, several optional extensions, range coding, complex extensions exist, temporal coding allows"
addresses story,"physical addresses, internet protocol addresses available, virtual memory addresses"
addressing various design concerns,"design principles, describing design, design problem, design philosophy, describes design work, design discipline, design modifications must, design systems, design approaches like human, design patterns"
adele cutler,
adjacency list,"adjacency list uses, adjacency list describes, adjacency list representation, adjacency list data structure, adjacency matrix, empty list consists, unordered list within, array list, list elements, linked list"
adjacency list data structure,"adjacency list, adjacency list uses, adjacency list describes, adjacency list representation, adjacency matrix, data structure, data structures, abstract data structures, data structure returns, structured data"
adjacency list describes,"adjacency list, adjacency list uses, adjacency list representation, adjacency list data structure, adjacency matrix, composite pattern describes, describes executable code, describes design work, access management describes, unordered list within"
adjacency list representation,"adjacency list, adjacency list describes, adjacency list uses, adjacency list data structure, adjacency matrix, refined representation, data representation framework created, finite representation, representation learning, intermediate representation"
adjacency list uses,"adjacency list, adjacency list describes, adjacency list data structure, adjacency list representation, adjacency matrix, commercial uses, practical uses, uses association rules, uses factory methods, unordered list within"
adjacency matrix,"adjacency list representation, adjacency list, matrix structures, adjacency list data structure, matrix containing, adjacency list describes, adjacency list uses, given matrix, system matrix, original matrix"
adjacent layers,"fully connected layers, multiple interconnected layers, hidden layers, traditional convolutional layers, global pooling layers along, pooling layers, normalization layers, pooling layers reduce, adjacent vertices"
adjacent vertices,"neighbouring vertices, vertices connected, child vertices, adjacent layers"
adjusted significance testing,"past testing, microprogrammed significance arithmetic, perioperative testing, bonferroni testing, 000 testing images, military significance"
adjusting form,"simplified form, usable form, basic form, another form, basic form uses, single form, electronic form, general form, normal form used, simplest form"
adjusting heap,"meldable heap implementation, heap data structure implemented, also meldable heap, mergeable heap structures, skew heap, meldable heap, randomized meldable heap supports, randomized meldable heap, skew heap would, special skew heap merge"
administrator password,password provided
admit functional extension,"mathematical extension, functional arguments, functional programming, functional values, functional architecture, functional analysis, functional programming community, functional presence engines, functional optimization, functional presence engine"
advance soon becomes obsolete,"operations becomes indeterminate, becomes necessary, input becomes small, data becomes available, comparison becomes, double hashing becomes linear"
advanced computing environment,"distributed computing environment, inspired computing uses, computing resources, inspired computing, soft computing, computing machinery, symposium on theory of computing, computing examples, distributed computing, scientific computing"
advanced encryption standard,"data encryption standard, encryption scheme utilized, encryption algorithm, manual symmetric encryption technique, based encryption, certificate-based encryption, deterministic encryption scheme, deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme"
advanced message queuing protocol,"communication protocol, internet protocol suite, communication protocol developed, internet protocol addresses available, server message block, industrial protocol, file exchange protocol, common industrial protocol, dynamic host configuration protocol, open standard application layer protocol"
advanced micro devices,"smart electronic devices, typical devices, multiple devices, many devices, computational devices proposed, mobile computing devices, input devices  physical environments, connects attached devices directly, acoustical devices"
advanced statistical analysis techniques,"using statistical methods, statistical modelling, statistical papers, statistical model, statistical modeling, statistical model derived, statistical model comparison, statistical computing, statistical properties, statistical databases"
advanced textiles,
advantage made possible,"primary advantage, take advantage, made possible, made sense, possible outcomes, possible even, made faster, choices made, choice made, another possible distinction"
adversely affect,"facial affect detection, affect digital circuits"
advertising  proceedings,"pdf  proceedings, network games  proceedings"
affect digital circuits,"digital circuits, digital circuit design used, scale integrated circuits, combinational circuits, digital logic, scale integration circuits, digital transmission, quantum circuits, transformed using digital computers, digital computer"
affected differently,"mainly affected, linear equations behave differently"
affective computing,"using affective computing technology, another area within affective computing, book affective computing published, study affective states, inspired computing uses, inspired computing, inspired computing relates, biologically inspired computing, computing examples, human-centered computing"
affects neural processing,"neural information processing workshop, biologically inspired neural networks, neural network, neural synapse, differentiable neural computers, neural networks, neural turing machines, neural abstraction pyramid, recurrent neural nets, physical neural networks"
aforementioned definition,"aforementioned definition allows, commonly accepted definition, broader definition, new definition, stricter definition, strict definition, recursive definition using, single definition, everyday usage definition, clear definition"
aforementioned definition allows,"aforementioned definition, commonly accepted definition, allows one, allows self, broader definition, allows elements, new definition, strict definition, allows users, explicit edge objects allows"
agent creates,"intelligent agent, intelligent agent paradigm, mobile software agent, reinforcement learning agent"
agile database modeling technique suited,"database model, database schema design approach, relational database models, database systems, hierarchical database modelit, database tuning aims, relational database theory, resulting relational database schema, database tuning describes, database tuning"
ahead adders,carry adders
ahp  also analytical hierarchy process,"analytical hierarchy process, analytical hierarchy, analytic hierarchy process, analytical hierarchy process moves forward, hierarchy based, analytical objects, also called latent semantic analysis, also called linear optimization, also avoids repeated evaluations, ip address allocation hierarchy"
ai alignment,"build ai systems, existing weak ai, manifold alignment, emotion ai, sequence alignment generally fall, spectre ai incorporated"
ai control problem,"ai control problem might, build ai systems, existing weak ai, control theory, control system based, desired control task, control moving, adaptive control, fuzzy control systems, fuzzy control system"
ai control problem might,"ai control problem, build ai systems, control theory, existing weak ai, desired control task, model predictive control, investigated fuzzy control, studied fuzzy control, control system based, control moving"
aid rather,"rule rather, name rather, meeting software requirements rather, physical rather, describe information systems rather, sequential data rather, first row rather"
alarm signal used,"car alarm, signal processing, digital signal, input signal, signal generation, analog signal, digital signal processing, minimum acceptable signal, signal prior, signal strength input"
alex mcdowell coined,"together mcdowell, originally coined, first coined, alex nugent describes, coined around 1992"
alex nugent describes,"alex mcdowell coined, adjacency list describes, access management describes, describes executable code, composite pattern describes"
alexander stepanov,
algebraic combinatorics,"enumerative combinatorics, algebraic theories, algebraic properties, algebraic geometry"
algebraic geometry,"algebraic theories, algebraic properties, computational geometry, algebraic combinatorics"
algebraic properties,"algebraic theories, algebraic geometry, fixed topological properties, numerical linear algebra uses properties, varying properties, interesting properties, algebraic combinatorics, many properties, measuring properties, statistical properties"
algebraic theories,"algebraic properties, algebraic geometry, algebraic combinatorics, dimensional theories, different theories, theories  synthese, cognitive theories"
algorithm design technique,"algorithmic design, algorithm used, algorithm using, algorithmic mechanism design, 2007  algorithmic mechanism design, algorithm theory, optimization algorithm based, different algorithm, algorithmic mechanism design differs, particular algorithm"
algorithm repeatedly,"algorithm used, algorithm using, particular algorithm, algorithm theory, different algorithm, repeatedly calculating, greedy algorithm, first algorithm, sequential algorithm, algorithm design technique"
algorithm still performs well,"algorithm repeatedly, different algorithm, algorithm used, particular algorithm, algorithm using, algorithm theory, algorithm design technique, run-time algorithm specialization, desired output algorithm, provide performance well beyond"
algorithm theory,"algorithmic information theory, algorithm used, algorithm using, particular algorithm, algorithm design technique, different algorithm, first algorithm, algorithmic complexity theory, optimization theory, learning algorithm"
algorithm used,"algorithm using, particular algorithm, algorithm design technique, different algorithm, algorithm theory, first algorithm, optimization algorithm based, seeking algorithm, optimization algorithm, learning algorithm"
algorithm using,"algorithm used, particular algorithm, different algorithm, algorithm design technique, algorithm theory, first algorithm, seeking algorithm, optimization algorithm based, learning algorithm, online algorithm"
algorithmic assignment,static single assignment
algorithmic complexity theory,"computational complexity theory, complexity theory, computational complexity theory tries, computational complexity, computational complexity theory focuses, algorithmic information theory, parameterized complexity, algorithm theory, full complexity, dimensional complexity theory"
algorithmic design,"algorithmic mechanism design, algorithm design technique, 2007  algorithmic mechanism design, algorithmic mechanism design differs, design systems, oriented design, design patterns, design pattern, systems design, design problem"
algorithmic information theory,"algorithm theory, algorithmic paradigm, algorithmic complexity theory, information theory, information architecture, optimization theory, corresponding information systems, quantum information theory, intuitive way using information, information system"
