IfCS,Phrase,Correct,Probablity,Attention
0,thomas algorithm,,0.806953311,"0.1436513066291809, 0.009301061742007732, 0.41598421335220337, 0.24604587256908417, 0.18501751124858856"
1,wigner function,,0.557143688,"0.0009996768785640597, 0.007024136837571859, 0.4362049698829651, 0.30672961473464966, 0.2490416020154953"
0,classify patterns,,0.699448824,"0.0005491864867508411, 0.027333680540323257, 0.4100200831890106, 0.3076910376548767, 0.25440600514411926"
0,cambridge quantum computing,,0.835950017,"0.06192248314619064, 0.0016215137438848615, 0.008515738882124424, 0.4515869617462158, 0.47635334730148315"
1,insertion sort,,0.587692022,"0.1006622314453125, 0.8936420679092407, 0.0037007895298302174, 0.0012425160966813564, 0.0007524746470153332"
0,intelligence analysis,,0.937317431,"8.071912452578545e-05, 0.011952637694776058, 0.3539585769176483, 0.34819266200065613, 0.28581544756889343"
1,deterministic approximation,,0.718324542,"0.0001551489986013621, 0.00344096589833498, 0.30919861793518066, 0.32932499051094055, 0.35788029432296753"
1,dynamic models,,0.550680518,"7.223407010314986e-05, 0.001714986632578075, 0.24452196061611176, 0.3403761386871338, 0.4133147597312927"
0,misleading equivalence,,0.534970045,"0.0014800927601754665, 0.4129360020160675, 0.3618602454662323, 0.13679172098636627, 0.08693195134401321"
0,pattern language,,0.738661587,"0.004046532325446606, 0.05727095156908035, 0.46225279569625854, 0.28290122747421265, 0.19352848827838898"
0,probabilistic roadmap methods,,0.820443988,"2.2679958419757895e-05, 0.00011203686153749004, 0.12586694955825806, 0.4703279733657837, 0.40367043018341064"
1,polynomial sequences,,0.72153163,"0.006285156589001417, 0.4144524037837982, 0.300613135099411, 0.15810523927211761, 0.12054408341646194"
0,network integration design,,0.823987603,"2.935779411927797e-05, 0.0003633909218478948, 0.17595985531806946, 0.47985631227493286, 0.34379106760025024"
1,symbolic computation,,0.643586934,"0.15318377315998077, 0.0032004774548113346, 0.40562331676483154, 0.24342162907123566, 0.1945708990097046"
0,computer science subfields,,0.590050995,"0.0001378501474391669, 0.009424499236047268, 0.3613613545894623, 0.37949541211128235, 0.24958081543445587"
0,classification performance,,0.735230625,"0.000586801499594003, 0.1456245630979538, 0.30312931537628174, 0.28093820810317993, 0.269721120595932"
0,processing data streams,,0.661950171,"9.895749826682732e-05, 0.0008709767716936767, 0.833840012550354, 0.10267461091279984, 0.06251538544893265"
0,bit central processing unit,,0.668595016,"0.2706259489059448, 0.02747778594493866, 0.0008263149647973478, 0.03742999956011772, 0.6636399626731873"
0,data type constrains,,0.50076282,"0.0006805307930335402, 0.9269081950187683, 0.014618081972002983, 0.031666580587625504, 0.02612655609846115"
0,future data,,0.685421586,"0.12403162568807602, 0.017756018787622452, 0.32596102356910706, 0.26128628849983215, 0.2709651291370392"
0,overlapping loop iterations,,0.568838954,"0.6291271448135376, 0.0003673358296509832, 0.06188373267650604, 0.1940009742975235, 0.11462084203958511"
0,empirical eigenfunction decomposition,empirical eigenfunction,0.726563513,"0.03325194492936134, 0.0009246746776625514, 0.0030837617814540863, 0.4904528856277466, 0.47228673100471497"
0,virtual technologies,,0.555117071,"0.0033796716015785933, 0.08383267372846603, 0.33100640773773193, 0.29986700415611267, 0.28191426396369934"
0,condition code register,,0.569474876,"0.7187939882278442, 0.0006559027242474258, 0.0706920251250267, 0.08498124033212662, 0.12487686425447464"
0,data differencing,,0.577218294,"0.0004982175305485725, 0.7605791091918945, 0.12047791481018066, 0.06790539622306824, 0.05053931847214699"
0,relational mapping,,0.537111521,"0.0015861644642427564, 0.0008459248929284513, 0.22123417258262634, 0.33258309960365295, 0.44375064969062805"
1,orthogonal decomposition methods,,0.603678346,"3.470797310001217e-05, 0.00015588699898216873, 0.22123919427394867, 0.4966602921485901, 0.2819100022315979"
0,environmental prediction,,0.573227882,"0.2113647311925888, 0.0022388803772628307, 0.20700018107891083, 0.25047966837882996, 0.3289165198802948"
0,iterator concept,,0.521544933,"7.043168352538487e-06, 0.19055943191051483, 0.30940598249435425, 0.26413094997406006, 0.23589664697647095"
0,human learning,,0.508561671,"0.015304683707654476, 0.021302156150341034, 0.4799478352069855, 0.2692441940307617, 0.21420109272003174"
0,density operator,,0.565519512,"0.00023493560729548335, 0.09071763604879379, 0.41481220722198486, 0.27319395542144775, 0.22104127705097198"
0,evaluation functions,,0.546420038,"0.002259508240967989, 0.014519160613417625, 0.4510343372821808, 0.3028019964694977, 0.22938501834869385"
0,probability generators,,0.657226801,"0.0006540920585393906, 0.01440356019884348, 0.33814147114753723, 0.32822316884994507, 0.3185777962207794"
0,iteratively solving,,0.635393202,"1.9450557374511845e-05, 0.03400391712784767, 0.5059159994125366, 0.2694911062717438, 0.19056956470012665"
0,video sequence,,0.614666939,"0.029673585668206215, 0.1910891830921173, 0.3465580940246582, 0.22872911393642426, 0.20394989848136902"
0,training recursive neural nets,,0.783174634,"0.00577755831182003, 0.004789277445524931, 0.0019297963008284569, 0.8052425384521484, 0.18226082623004913"
0,analytical hierarchy,,0.577998281,"0.005517391953617334, 0.013527200557291508, 0.26500630378723145, 0.3299136161804199, 0.3860354721546173"
0,lexicalist hypothesis,,0.53332442,"0.06770309805870056, 0.19801467657089233, 0.2848692536354065, 0.22513064742088318, 0.22428233921527863"
0,rnyi information dimension,,0.699833632,"0.24833859503269196, 0.0023412418086081743, 0.032099660485982895, 0.3971947133541107, 0.32002580165863037"
0,planar graphbased,,0.922595024,"0.009361601434648037, 0.0025903850328177214, 0.16451631486415863, 0.34180623292922974, 0.48172545433044434"
0,hierarchical database modelit,,0.898943901,"0.00091857451479882, 7.055256719468161e-05, 0.0009598489850759506, 0.2390497922897339, 0.7590011954307556"
0,markov partitions,,0.781197309,"0.24865955114364624, 0.31789788603782654, 0.10453628748655319, 0.13940395414829254, 0.18950237333774567"
0,digital  web pages,,0.730646491,"0.000745407014619559, 0.0033209945540875196, 0.0011213462566956878, 0.7776373624801636, 0.21717490255832672"
0,bloch representation,,0.545917392,"0.001223331899382174, 0.054429735988378525, 0.4263112246990204, 0.28175246715545654, 0.23628325760364532"
1,concurrency control,,0.613646507,"0.0068938033655285835, 0.270145982503891, 0.22952516376972198, 0.24006374180316925, 0.25337135791778564"
1,swarm intelligence,,0.619137764,"0.0027021015994250774, 0.0019294555531814694, 0.3018309473991394, 0.3177978992462158, 0.37573957443237305"
0,gap analysis,,0.757231772,"0.0035466121044009924, 0.019549591466784477, 0.37514156103134155, 0.3174530565738678, 0.28430914878845215"
0,digital camera,,0.704147637,"0.0008590074721723795, 0.187360942363739, 0.35790514945983887, 0.2559688687324524, 0.197906032204628"
0,time analysis,,0.719253719,"0.0030650077387690544, 0.02714003063738346, 0.40815573930740356, 0.30632835626602173, 0.2553108036518097"
0,computability logic homepage comprehensive survey,,0.589913845,"6.315712653304217e-06, 8.377512131119147e-05, 0.00020741464686580002, 0.28856030106544495, 0.7111421823501587"
0,math functions,,0.54265815,"0.006012472324073315, 0.035220686346292496, 0.5819469094276428, 0.23993346095085144, 0.13688646256923676"
0,data processing industry,,0.556540251,"3.02957346320909e-06, 4.4334447011351585e-05, 0.9825208783149719, 0.01257152296602726, 0.004860260523855686"
0,biased estimation,,0.753434002,"0.0017934138886630535, 0.0031771427020430565, 0.23280584812164307, 0.32126113772392273, 0.4409625232219696"
0,fortran basic linear algebra subprograms,,0.849152088,"0.00922076404094696, 0.02666855975985527, 6.845747702755034e-05, 0.021169595420360565, 0.9428726434707642"
0,general programming languages,,0.640075326,"0.0118851438164711, 0.0002855191414710134, 0.13900317251682281, 0.4421049952507019, 0.40672117471694946"
0,negative matrix factorization,,0.544661701,"0.0030398487579077482, 0.0001140266249421984, 0.099819116294384, 0.5474867820739746, 0.34954026341438293"
1,asymptotic analysis,,0.694784164,"0.000923850224353373, 0.012260175310075283, 0.32764220237731934, 0.3247242867946625, 0.33444949984550476"
0,extensible encoding system,,0.520566702,"0.07539571076631546, 0.024717528373003006, 0.02272483892738819, 0.36668160557746887, 0.5104802846908569"
0,static  pure spatial patterns,,0.571182013,"1.8023562006419525e-05, 0.0014106964226812124, 0.24739022552967072, 0.06457684934139252, 0.6866042017936707"
0,standard computer algorithms,,0.731370628,"0.3414337933063507, 0.0006149363471195102, 0.0029017552733421326, 0.31495872139930725, 0.3400908410549164"
0,transfer data,,0.751125813,"0.008575624786317348, 0.010129627771675587, 0.32376644015312195, 0.30812710523605347, 0.34940117597579956"
0,amd accelerated processing units,,0.742942095,"0.004099963698536158, 0.0005868705338798463, 0.001095942803658545, 0.1156826764345169, 0.8785345554351807"
0,screen cursor,,0.748503447,"0.0012291147140786052, 0.02146403305232525, 0.33085185289382935, 0.36167314648628235, 0.2847818434238434"
0,learning method,,0.792724609,"5.834954572492279e-05, 0.17763003706932068, 0.40979793667793274, 0.24874995648860931, 0.16376371681690216"
0,document pattern,,0.752348185,"0.0026318668387830257, 0.16903062164783478, 0.4333822429180145, 0.24024127423763275, 0.15471401810646057"
0,bounded flat surface,,0.628094614,"0.0007305855397135019, 0.004306849092245102, 0.1875893771648407, 0.5217232704162598, 0.28564995527267456"
0,oriented analysis,,0.651445925,"0.013001571409404278, 0.025524253025650978, 0.3661018908023834, 0.30942830443382263, 0.28594401478767395"
1,design patterns,,0.585731626,"0.0016680489061400294, 0.04117884486913681, 0.4948444366455078, 0.2802310883998871, 0.182077556848526"
0,case gradient descent,,0.755524158,"0.03248587250709534, 1.6540056094527245e-05, 0.07319164276123047, 0.5346293449401855, 0.3596765697002411"
0,linear programming algorithm finds,,0.845927119,"1.549845023873786e-06, 2.917196979979053e-06, 4.208821337670088e-05, 0.9932914972305298, 0.006661829072982073"
0,euclidean cubes,,0.647292674,"0.0026916537899523973, 0.08006299287080765, 0.4522087574005127, 0.26921236515045166, 0.19582423567771912"
0,efficient retrieval,,0.515230536,"0.21801960468292236, 0.047069452702999115, 0.26504644751548767, 0.2272186577320099, 0.24264580011367798"
0,automated space docking,,0.51493752,"0.031334150582551956, 0.0034456178545951843, 0.8342822790145874, 0.07728273421525955, 0.05365528538823128"
0,computer architecture courses,,0.755357385,"0.00010243988799629733, 7.335368718486279e-05, 0.19671441614627838, 0.4094831943511963, 0.3936266005039215"
0,heterogeneous environment,,0.578191042,"0.00047335203271359205, 0.018665120005607605, 0.2390720546245575, 0.3345262110233307, 0.40726324915885925"
0,milnermycroft calculus,,0.690017581,"0.0010591326281428337, 0.012098980136215687, 0.32834500074386597, 0.32480570673942566, 0.33369117975234985"
0,web forums,,0.638227701,"0.00045970879727974534, 0.10121207684278488, 0.14704030752182007, 0.30710166692733765, 0.4441862404346466"
0,amd accelerated processing unit,,0.804780126,"0.005051339976489544, 0.0005615001427941024, 0.0007050426793284714, 0.04028685390949249, 0.9533952474594116"
0,business functions,,0.567961454,"0.05309632420539856, 0.020351426675915718, 0.48124539852142334, 0.2649836540222168, 0.18032319843769073"
0,matching algorithm,,0.732817113,"0.6288348436355591, 0.005696082022041082, 0.20294246077537537, 0.09670744836330414, 0.06581909209489822"
0,technology mining,,0.537210345,"0.008494085632264614, 0.20147521793842316, 0.3750435411930084, 0.23210865259170532, 0.18287847936153412"
0,dimensional generalization,,0.745431066,"0.0019320666324347258, 0.005680127535015345, 0.2843417823314667, 0.33830997347831726, 0.369735985994339"
0,flow analysis,,0.717088997,"0.00392635352909565, 0.02405514568090439, 0.3948681652545929, 0.30807626247406006, 0.26907405257225037"
0,amazon prime video,,0.700775564,"0.08044806867837906, 0.04213067516684532, 0.15154676139354706, 0.38060179352760315, 0.3452727794647217"
1,computational complexity,,0.815214455,"0.00010546350677032024, 0.014883170835673809, 0.3814608156681061, 0.3245425224304199, 0.27900806069374084"
0,galaxies  numerical linear algebra,,0.501767516,"0.11422782391309738, 0.009787164628505707, 0.009495770558714867, 0.00034740808769129217, 0.8661418557167053"
1,higher-order function,,0.684215665,"0.005786929279565811, 0.010008729062974453, 0.5171440243721008, 0.2756648063659668, 0.191395565867424"
0,data stored,,0.545594871,"0.007455595303326845, 0.8364272713661194, 0.05091402307152748, 0.04972783103585243, 0.055475346744060516"
0,function evaluates,,0.519264996,"0.00046422341256402433, 0.20561076700687408, 0.3916844427585602, 0.23209725320339203, 0.1701432764530182"
0,least linear,,0.535861015,"0.2703762352466583, 0.0006167234969325364, 0.22786682844161987, 0.23970726132392883, 0.2614329159259796"
0,mathematical analysis,,0.642650545,"0.004767395090311766, 0.0494900718331337, 0.4530273675918579, 0.28087347745895386, 0.2118416577577591"
1,sequential coupling,,0.585892022,"0.31250670552253723, 0.020721012726426125, 0.27093586325645447, 0.20595873892307281, 0.18987774848937988"
0,microbial intelligence,,0.651550114,"0.06073489412665367, 0.001468482194468379, 0.2648164927959442, 0.29723405838012695, 0.37574613094329834"
0,theoretic method,,0.591444492,"0.09311296045780182, 0.21737319231033325, 0.3720746636390686, 0.18802489340305328, 0.12941426038742065"
0,immutable object,,0.545121133,"0.0006951802643015981, 0.051150862127542496, 0.4177130460739136, 0.28363853693008423, 0.24680228531360626"
0,3d coordinate system,,0.787635803,"0.0006110855611041188, 0.0026665956247597933, 0.024392656981945038, 0.4580393135547638, 0.5142903327941895"
0,evaluate computer software,,0.565772235,"0.6914762258529663, 0.018194708973169327, 0.0035111268516629934, 0.07237505912780762, 0.2144428789615631"
0,dynamical systems theory,,0.607203603,"7.892007124610245e-05, 0.00017749177641235292, 0.0021922001615166664, 0.4253099858760834, 0.5722414255142212"
0,proof method,,0.644729018,"0.02149154618382454, 0.22657005488872528, 0.41006332635879517, 0.2049250453710556, 0.1369500458240509"
1,pseudorandom number generator,,0.659837663,"0.0036939186975359917, 0.517404317855835, 0.006496849935501814, 0.2667377293109894, 0.20566712319850922"
0,polynomial sequence,,0.742580891,"0.006733423564583063, 0.27137231826782227, 0.34343522787094116, 0.20786650478839874, 0.1705925017595291"
0,matlab function symmmd,,0.681417644,"1.6861291442182846e-05, 0.005561815109103918, 0.746989369392395, 0.1275636851787567, 0.11986824125051498"
0,mathematical reasoning,,0.509945571,"0.0036471085622906685, 0.19506235420703888, 0.4651471674442291, 0.20468634366989136, 0.13145703077316284"
0,denotational semantics,,0.621212363,"0.0015254511963576078, 0.21502894163131714, 0.263495534658432, 0.2512965798377991, 0.2686534523963928"
0,baseline method,,0.567163825,"0.00043859664583578706, 0.14638230204582214, 0.4096735417842865, 0.2586289346218109, 0.18487663567066193"
0,path trees,,0.520104885,"0.00012745351705234498, 8.340792555827647e-05, 0.16409485042095184, 0.335815966129303, 0.49987831711769104"
0,certificate-based encryption,,0.880578518,"0.010929063893854618, 0.006396797019988298, 0.178679421544075, 0.33208826184272766, 0.471906453371048"
0,based learning algorithms,,0.803008914,"0.07423140853643417, 0.0002706949308048934, 0.010119293816387653, 0.5525966882705688, 0.36278194189071655"
0,sleep algorithm,,0.884520769,"0.006968293339014053, 0.007194960955530405, 0.4534130394458771, 0.31034788489341736, 0.22207587957382202"
1,truth table,,0.826424301,"0.0797668844461441, 0.1108400747179985, 0.3495907187461853, 0.2519005835056305, 0.20790180563926697"
0,membership inference,,0.540765047,"0.36572256684303284, 0.0071047646924853325, 0.17113766074180603, 0.19039833545684814, 0.2656366527080536"
0,evidence toolkit,,0.593848526,"0.3992719054222107, 0.003616553731262684, 0.14327843487262726, 0.2065168023109436, 0.24731628596782684"
0,mit scheme,,0.53087002,"0.0007615226786583662, 0.04986380413174629, 0.4264985918998718, 0.28417524695396423, 0.23870086669921875"
0,robust optimization,,0.703153312,"0.002323268447071314, 0.008895977400243282, 0.33644944429397583, 0.33154091238975525, 0.3207904100418091"
0,analytic number theory,,0.834087253,"0.0009437751723453403, 0.1617359071969986, 0.006884091999381781, 0.45701488852500916, 0.3734213411808014"
0,map function,,0.648722172,"3.781444320338778e-05, 0.006461017299443483, 0.43184998631477356, 0.3185645639896393, 0.24308666586875916"
1,user interfaces,,0.521528721,"0.008935836143791676, 0.002229543635621667, 0.18225319683551788, 0.3468305468559265, 0.4597509205341339"
1,computational logic,,0.846885562,"0.00021668271801900119, 0.026572637259960175, 0.36218762397766113, 0.3264865279197693, 0.2845364809036255"
0,order function,,0.620116353,"0.3683456480503082, 0.011687874794006348, 0.3702833950519562, 0.15409353375434875, 0.09558945894241333"
0,assembling sequences,,0.601034701,"0.36733585596084595, 0.2156367003917694, 0.192454531788826, 0.11837192624807358, 0.10620096325874329"
1,lazy inheritance,,0.586495459,"0.023334799334406853, 0.226766899228096, 0.28494858741760254, 0.23319661617279053, 0.2317531555891037"
1,dynamical system,,0.699703634,"0.0010495848255231977, 0.007284651976078749, 0.19154950976371765, 0.33255735039711, 0.4675588607788086"
1,generalized additive model,,0.60593015,"7.905610254965723e-05, 0.45578742027282715, 0.00760290352627635, 0.3217519223690033, 0.2147786170244217"
1,typed programming languages,,0.519162476,"0.8573354482650757, 6.041082815499976e-05, 0.021708553656935692, 0.06446903198957443, 0.056426506489515305"
1,probabilistic turing machines,,0.772264242,"1.0935129466815852e-05, 0.004111181478947401, 0.7976600527763367, 0.14597074687480927, 0.0522470586001873"
0,joint density matrix,joint density,0.539633989,"0.04319377616047859, 0.00026012814487330616, 0.0007144289556890726, 0.4629332423210144, 0.49289843440055847"
0,cryogenic computing,,0.669242263,"0.020339341834187508, 0.0036676886957138777, 0.2542724907398224, 0.3190956711769104, 0.40262478590011597"
0,polygraphic substitution systems,polygraphic substitution,0.534300625,"0.02594848722219467, 0.70169997215271, 0.014887326397001743, 0.1496138572692871, 0.10785025358200073"
0,digital conversion,,0.625962019,"0.0007748078205622733, 0.01997482217848301, 0.4313679039478302, 0.30558282136917114, 0.24229967594146729"
1,data type,,0.60467422,"0.00036413277848623693, 0.9021100997924805, 0.04102165251970291, 0.0308893583714962, 0.025614792481064796"
0,yield intelligent behavior,,0.749672949,"0.00015487600467167795, 0.0014426239067688584, 0.2177838832139969, 0.4772275686264038, 0.3033910095691681"
1,markov shift,,0.816340446,"0.00011865515261888504, 0.041651107370853424, 0.5250619053840637, 0.264178067445755, 0.16899025440216064"
0,computational cognitive science,,0.769723773,"1.9369121218915097e-05, 0.000739042239729315, 0.1281067430973053, 0.5805743336677551, 0.2905604839324951"
1,balanced tree,,0.53974551,"0.15332576632499695, 6.843677692813799e-05, 0.16293008625507355, 0.2767108976840973, 0.40696486830711365"
0,evaluation method,,0.557106912,"0.0034376895055174828, 0.17930184304714203, 0.3966335654258728, 0.2432757318019867, 0.1773511916399002"
0,contract methodologies,,0.736380219,"0.12486975640058517, 0.05261819809675217, 0.35050076246261597, 0.25668784976005554, 0.21532349288463593"
1,schematic diagram,,0.564628541,"0.0004797540605068207, 0.006515498738735914, 0.2482343465089798, 0.3426271975040436, 0.4021431803703308"
1,modal interpretations,,0.510628462,"0.006641036365181208, 0.28150731325149536, 0.33350950479507446, 0.2070651650428772, 0.1712769865989685"
0,objective programming,,0.565461874,"0.11235226690769196, 0.002863885136321187, 0.2770784795284271, 0.2993597686290741, 0.3083455264568329"
0,time recurrent neural networks,continuous-time recurrent neural networks,0.784132957,"0.23972226679325104, 0.6136173605918884, 0.0005179072613827884, 0.0034419072326272726, 0.14270064234733582"
