phrase,sentances
computer program,"Structured programming is a programming paradigm aimed at improving the clarity, quality, and development time of a computer program by making extensive use of the structured control flow constructs of selection (if/then/else) and repetition (while and for), block structures, and subroutines. !! Intelligent agents are often described schematically as an abstract functional system similar to a computer program. !! A program transformation is any operation that takes a computer program and generates another program. !! In computing, lightweight software also called lite program and lightweight application, is a computer program that is designed to have a small memory footprint (RAM usage) and low CPU usage, overall a low usage of system resources. !! Data-flow analysis is a technique for gathering information about the possible set of values calculated at various points in a computer program. !! In computer science, lexical analysis, lexing or tokenization is the process of converting a sequence of characters (such as in a computer program or web page) into a sequence of tokens (strings with an assigned and thus identified meaning). !! A real data type is a data type used in a computer program to represent an approximation of a real number. !! Automatic vectorization, in parallel computing, is a special case of automatic parallelization, where a computer program is converted from a scalar implementation, which processes a single pair of operands at a time, to a vector implementation, which processes one operation on multiple pairs of operands at once. !! Structured concurrency is a programming paradigm aimed at improving the clarity, quality, and development time of a computer program by using a structured approach to concurrent programming. !! A central processing unit (CPU), also called a central processor, main processor or just processor, is the electronic circuitry that executes instructions comprising a computer program. !! In computing, cache algorithms (also frequently called cache replacement algorithms or cache replacement policies) are optimizing instructions, or algorithms, that a computer program or a hardware-maintained structure can utilize in order to manage a cache of information stored on the computer. !! Time travel debugging or time traveling debugging is the process of stepping back in time through source code to understand what is happening during execution of a computer program. !! An algorithmic paradigm is an abstraction higher than the notion of an algorithm, just as an algorithm is an abstraction higher than a computer program. !! In computer programming, a thread pool is a software design pattern for achieving concurrency of execution in a computer program. !! In computer science, a software agent is a computer program that acts for a user or other program in a relationship of agency, which derives from the Latin agere (to do): an agreement to act on one's behalf. !! In computer performance, the instruction path length is the number of machine code instructions required to execute a section of a computer program."
scientific programming language,"In this sense, C/C++ and Python can be considered scientific programming languages. !! In a stronger sense, a scientific programming language is one that is designed and optimized for the use of mathematical formula and matrices. !! In a wide sense, a scientific programming language is a programming language that is used widely for computational science and computational mathematics. !! In computer programming, a scientific programming language can refer to two degrees of the same concept. !! Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
programming language,"It is possible to do structured programming in any programming language, though it is preferable to use something like a procedural programming language. !! A ""type"" in type theory has a role similar to a ""type"" in a programming language: it dictates the operations that can be performed on a term and, for variables, the possible values it might be replaced with. !! However, Smith argues that this model is not true structured concurrency as the programming language is unaware of the joining behavior, and is thus unable to enforce safety. !! The implementation of a numerical method with an appropriate convergence check in a programming language is called a numerical algorithm. !! A scripting language or script language is a programming language for a runtime system that automates the execution of tasks that would otherwise be performed individually by a human operator. !! A semantic resolution tree is a tree used for the definition of the semantics of a programming language. !! In a wide sense, a scientific programming language is a programming language that is used widely for computational science and computational mathematics. !! In any programming language that implements short-circuit evaluation, the expression x and y is equivalent to the conditional expression if x then y else x, and the expression x or y is equivalent to if x then x else y. !! Although this is a very useful property, it has a drawback: a programming language with the normalization property cannot be Turing complete, otherwise one could solve the halting problem by seeing if the program type-checks. !! A programming language is any set of rules that converts strings, or graphical program elements in the case of visual programming languages, to various kinds of machine code output. !! A particularly interesting example of the use of partial evaluation, first described in the 1970s by Yoshihiko Futamura, is when prog is an interpreter for a programming language. !! In computer programming, a free-form language is a programming language in which the positioning of characters on the page in program text is insignificant. !! A lambda calculus system with the normalization property can be viewed as a programming language with the property that every program terminates. !! More generally ""primitive data types"" may refer to the standard data types built into a programming language."
computational mathematics,"Computational mathematics involves mathematical research in mathematics as well as in areas of science where computation plays a central and essential role, and emphasizes algorithms, numerical methods, and symbolic computations. !! Computational mathematics emerged as a distinct part of applied mathematics by the early 1950s. !! Foundations of Computational Mathematics: Special Volume. !! In a wide sense, a scientific programming language is a programming language that is used widely for computational science and computational mathematics. !! The essence of computational science is the application of numerical algorithms and computational mathematics. !! Computational Mathematics: An Introduction to Numerical Approximation. !! Computational mathematics may also refer to the use of computers for mathematics itself."
mathematical formula,"In a stronger sense, a scientific programming language is one that is designed and optimized for the use of mathematical formula and matrices."
scientific method,"Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
scientific programming languages,"Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
scientific language,"Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
computer graphics,"Computer Graphics International (CGI) is one of the oldest annual international conferences on computer graphics. !! With the advent of computer graphics, Bernstein polynomials, restricted to the interval [0, 1], became important in the form of Bzier curves. !! Collision detection is a classic issue of computational geometry and has applications in various computing fields, primarily in computer graphics, computer games, computer simulations, robotics and computational physics. !! In the geometry of computer graphics, a vertex normal at a vertex of a polyhedron is a directional vector associated with a vertex, intended as a replacement to the true geometric normal of the surface. !! Today, computer graphics is a core technology in digital photography, film, video games, cell phone and computer displays, and many specialized applications. !! Vector graphics, as a form of computer graphics, is the set of mechanisms for creating visual images directly from geometric shapes defined on a Cartesian plane, such as points, lines, curves, and polygons. !! The phrase was coined in 1960 by computer graphics researchers Verne Hudson and William Fetter of Boeing. !! In computer graphics, texture filtering or texture smoothing is the method used to determine the texture color for a texture mapped pixel, using the colors of nearby texels (pixels of the texture). !! The main impetus for the development of computational geometry as a discipline was progress in computer graphics and computer-aided design and manufacturing (CAD/CAM), but many problems in computational geometry are classical in nature, and may come from mathematical visualization. !! An abstract graphical data type (AGDT) is an extension of an abstract data type for computer graphics. !! The non-artistic aspects of computer graphics are the subject of computer science research. !! A great deal of specialized hardware and software has been developed, with the displays of most devices being driven by computer graphics hardware. !! Computer graphics deals with generating images with the aid of computers. !! The development of kinetic data structures was motivated by computational geometry problems involving physical objects in continuous motion, such as collision or visibility detection in robotics, animation or computer graphics."
polygonal approximations,"Vertex normals can also be computed for polygonal approximations to surfaces such as NURBS, or specified explicitly for artistic purposes."
error message,"End-users may see a stack trace displayed as part of an error message, which the user can then report to a programmer. !! Error messages are used when user intervention is required, to indicate that a desired operation has failed, or to relay important warnings (such as warning a computer user that they are almost out of hard disk space). !! An error message is information displayed when an unforeseen problem occurs, usually on a computer or other device. !! On modern operating systems with graphical user interfaces, error messages are often displayed using dialog boxes. !! Error messages are seen widely throughout computing, and are part of every operating system or computer hardware device. !! Proper design of error messages is an important topic in usability and other fields of humancomputer interaction."
information technology,"System integration is defined in engineering as the process of bringing together the component sub-systems into one system (an aggregation of subsystems cooperating so that the system is able to deliver the overarching functionality) and ensuring that the subsystems function together as a system, and in information technology as the process of linking together different computing systems and software applications physically or functionally, to act as a coordinated whole. !! Enterprise modelling constructs can focus upon manufacturing operations and/or business operations; however, a common thread in enterprise modelling is an inclusion of assessment of information technology. !! In information technology, a notification system is a combination of software and hardware that provides a means of delivering a message to a set of recipients. !! In information technology, lossy compression or irreversible compression is the class of data encoding methods that uses inexact approximations and partial data discarding to represent the content. !! In information technology a reasoning system is a software system that generates conclusions from available knowledge using logical techniques such as deduction and induction. !! Turing Award winner Jim Gray imagined data science as a ""fourth paradigm"" of science (empirical, theoretical, computational, and now data-driven) and asserted that ""everything about science is changing because of the impact of information technology"" and the data deluge. !! The field of Artificial Immune Systems (AIS) is concerned with abstracting the structure and function of the immune system to computational systems, and investigating the application of these systems towards solving computational problems from mathematics, engineering, and information technology. !! Solution architecture, term used in information technology with various definitions such as; ""A description of a discrete and focused business operation or activity and how IS/IT supports that operation"". !! The National Cyber Security Policy 2013 is a policy framework by the Ministry of Electronics and Information Technology (MeitY) which aims to protect the public and private infrastructure from cyberattacks, and safeguard ""information, such as personal information (of web users), financial and banking information and sovereign data""."
machine learning,"Computational human modeling is an interdisciplinary computational science that links the diverse fields of artificial intelligence, cognitive science, and computer vision with machine learning, mathematics, and cognitive psychology. !! In communication networks, cognitive network (CN) is a new type of data network that makes use of cutting edge technology from several research areas (i. e. machine learning, knowledge representation, computer network, network management) to solve some problems current networks are faced with. !! In machine learning, lazy learning is a learning method in which generalization of the training data is, in theory, delayed until a query is made to the system, as opposed to eager learning, where the system tries to generalize the training data before receiving queries. !! Statistical relational learning (SRL) is a subdiscipline of artificial intelligence and machine learning that is concerned with domain models that exhibit both uncertainty (which can be dealt with using statistical methods) and complex, relational structure. !! AI Bridging Cloud Infrastructure (ABCI) is a planned supercomputer being built at the University of Tokyo for use in artificial intelligence, machine learning, and deep learning. !! Semi-supervised learning is also of theoretical interest in machine learning and as a model for human learning. !! Boltzmann machines with unconstrained connectivity have not proven useful for practical problems in machine learning or inference, but if the connectivity is properly constrained, the learning can be made efficient enough to be useful for practical problems. !! In machine learning, feature learning or representation learning is a set of techniques that allows a system to automatically discover the representations needed for feature detection or classification from raw data. !! Among the most used adaptive algorithms is the Widrow-Hoffs least mean squares (LMS), which represents a class of stochastic gradient-descent algorithms used in adaptive filtering and machine learning. !! One advantage that instance-based learning has over other methods of machine learning is its ability to adapt its model to previously unseen data. !! Structural risk minimization (SRM) is an inductive principle of use in machine learning. !! Pattern recognition has its origins in statistics and engineering; some modern approaches to pattern recognition include the use of machine learning, due to the increased availability of big data and a new abundance of processing power. !! Data science is related to data mining, machine learning and big data. !! Deep reinforcement learning (deep RL) is a subfield of machine learning that combines reinforcement learning (RL) and deep learning. !! Recent developments are dedicated to multi-label active learning, hybrid active learning and active learning in a single-pass (on-line) context, combining concepts from the field of machine learning (e. g. conflict and ignorance) with adaptive, incremental learning policies in the field of online machine learning. !! Transfer learning (TL) is a research problem in machine learning (ML) that focuses on storing knowledge gained while solving one problem and applying it to a different but related problem. !! Decision tree learning or induction of decision trees is one of the predictive modelling approaches used in statistics, data mining and machine learning. !! Factor analysis is commonly used in psychometrics, personality psychology, biology, marketing, product management, operations research, finance, and machine learning. !! Rule induction is an area of machine learning in which formal rules are extracted from a set of observations. !! In machine learning, weighted majority algorithm (WMA) is a meta learning algorithm used to construct a compound algorithm from a pool of prediction algorithms, which could be any type of learning algorithms, classifiers, or even real human experts. !! Meta-heuristics and machine learning are used to address the complexity of program optimization. !! Agent mining is an interdisciplinary area that synergizes multiagent systems with data mining and machine learning. !! Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, reinforcement learning, evolutionary computation and genetic algorithms. !! In machine learning, multi-label classification and the strongly related problem of multi-output classification are variants of the classification problem where multiple labels may be assigned to each instance. !! Semi-supervised learning is an approach to machine learning that combines a small amount of labeled data with a large amount of unlabeled data during training. !! In machine learning, Manifold regularization is a technique for using the shape of a dataset to constrain the functions that should be learned on that dataset. !! Grammar induction (or grammatical inference) is the process in machine learning of learning a formal grammar (usually as a collection of re-write rules or productions or alternatively as a finite state machine or automaton of some kind) from a set of observations, thus constructing a model which accounts for the characteristics of the observed objects. !! In machine learning and statistics, the learning rate is a tuning parameter in an optimization algorithm that determines the step size at each iteration while moving toward a minimum of a loss function. !! In machine learning, instance-based learning (sometimes called memory-based learning) is a family of learning algorithms that, instead of performing explicit generalization, compare new problem instances with instances seen in training, which have been stored in memory. !! Within computer science, bio-inspired computing relates to artificial intelligence and machine learning. !! Data stream mining can be considered a subfield of data mining, machine learning, and knowledge discovery. !! Parity learning is a problem in machine learning. !! In machine learning, support-vector machines (SVMs, also support-vector networks) are supervised learning models with associated learning algorithms that analyze data for classification and regression analysis. !! In machine learning, a margin classifier is a classifier which is able to give an associated distance from the decision boundary for each example. !! In machine learning and data mining, a string kernel is a kernel function that operates on strings, i. e. finite sequences of symbols that need not be of the same length. !! In computer science, online machine learning is a method of machine learning in which data becomes available in a sequential order and is used to update the best predictor for future data at each step, as opposed to batch learning techniques which generate the best predictor by learning on the entire training data set at once. !! Regulation of algorithms, or algorithmic regulation, is the creation of laws, rules and public sector policies for promotion and regulation of algorithms, particularly in artificial intelligence and machine learning. !! In machine learning, one-class classification (OCC), also known as unary classification or class-modelling, tries to identify objects of a specific class amongst all objects, by primarily learning from a training set containing only the objects of that class, although there exist variants of one-class classifiers where counter-examples are used to further refine the classification boundary. !! Beyond quantum computing, the term ""quantum machine learning"" is also associated with classical machine learning methods applied to data generated from quantum experiments (i. e. machine learning of quantum systems), such as learning the phase transitions of a quantum system or creating new quantum experiments. !! The Quantum Artificial Intelligence Lab (also called the Quantum AI Lab or QuAIL) is a joint initiative of NASA, Universities Space Research Association, and Google (specifically, Google Research) whose goal is to pioneer research on how quantum computing might help with machine learning and other difficult computer science problems. !! However, typical research in quantum neural networks involves combining classical artificial neural network models (which are widely used in machine learning for the important task of pattern recognition) with the advantages of quantum information in order to develop more efficient algorithms. !! While the basic idea behind stochastic approximation can be traced back to the RobbinsMonro algorithm of the 1950s, stochastic gradient descent has become an important optimization method in machine learning. !! In machine learning, sequence labeling is a type of pattern recognition task that involves the algorithmic assignment of a categorical label to each member of a sequence of observed values."
pattern recognition task,"In machine learning, sequence labeling is a type of pattern recognition task that involves the algorithmic assignment of a categorical label to each member of a sequence of observed values."
sequence labeling,"The most common statistical models in use for sequence labeling make a Markov assumption, i. e. that the choice of label for a particular word is directly dependent only on the immediately adjacent labels; hence the set of labels forms a Markov chain. !! Most sequence labeling algorithms are probabilistic in nature, relying on statistical inference to find the best sequence. !! Sequence labeling can be treated as a set of independent classification tasks, one per member of the sequence. !! A common example of a sequence labeling task is part of speech tagging, which seeks to assign a part of speech to each word in an input sentence or document. !! In machine learning, sequence labeling is a type of pattern recognition task that involves the algorithmic assignment of a categorical label to each member of a sequence of observed values."
algorithmic assignment,"In machine learning, sequence labeling is a type of pattern recognition task that involves the algorithmic assignment of a categorical label to each member of a sequence of observed values."
input sentence,"A common example of a sequence labeling task is part of speech tagging, which seeks to assign a part of speech to each word in an input sentence or document."
speech tagging,"A common example of a sequence labeling task is part of speech tagging, which seeks to assign a part of speech to each word in an input sentence or document. !! Language modeling is used in speech recognition, machine translation, part-of-speech tagging, parsing, Optical Character Recognition, handwriting recognition, information retrieval and other applications. !! Hidden Markov models are known for their applications to thermodynamics, statistical mechanics, physics, chemistry, economics, finance, signal processing, information theory, pattern recognition - such as speech, handwriting, gesture recognition, part-of-speech tagging, musical score following, partial discharges and bioinformatics."
