phrase,sentances
used widely,"In a wide sense, a scientific programming language is a programming language that is used widely for computational science and computational mathematics."
wide sense,"In a wide sense, a scientific programming language is a programming language that is used widely for computational science and computational mathematics."
stronger sense,"In a stronger sense, a scientific programming language is one that is designed and optimized for the use of mathematical formula and matrices."
higher standards,"Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
refers loosely,"Scientific programming languages in the stronger sense include ALGOL, APL, Fortran, J, Julia, Maple, MATLAB and R. Scientific programming languages should not be confused with scientific language in general, which refers loosely to the higher standards in precision, correctness and concision expected from practitioners of the scientific method."
specified explicitly,"Vertex normals can also be computed for polygonal approximations to surfaces such as NURBS, or specified explicitly for artistic purposes."
artistic purposes,"Vertex normals can also be computed for polygonal approximations to surfaces such as NURBS, or specified explicitly for artistic purposes."
phong shading,"Vertex normals are used in Gouraud shading, Phong shading and other lighting models."
cannot produce,"Using vertex normals, much smoother shading than flat shading can be achieved; however, without some modifications, it cannot produce a sharp edge."
much smoother shading,"Using vertex normals, much smoother shading than flat shading can be achieved; however, without some modifications, it cannot produce a sharp edge."
sharp edge,"Using vertex normals, much smoother shading than flat shading can be achieved; however, without some modifications, it cannot produce a sharp edge."
proteins online,Users can calculate solvent accessible surface area of the proteins online at http://curie.
calculate solvent accessible surface area,Users can calculate solvent accessible surface area of the proteins online at http://curie.
transfer free energy required,Accessible surface area is often used when calculating the transfer free energy required to move a biomolecule from aqueous solvent to a non-polar solvent such as a lipid environment.
often used,"Social affordance is most often used in the context of a social technology such as Wiki, Chat and Facebook applications and refers to sociotechnical affordances. !! Digital identity is now often used in ways that require data about persons stored in computer systems to be linked to their civil, or national, identities. !! A database dump is most often used for backing up a database so that its contents can be restored in the event of data loss. !! In linear algebra, a QR decomposition, also known as a QR factorization or QU factorization, is a decomposition of a matrix A into a product A = QR of an orthogonal matrix Q and an upper triangular matrix R. QR decomposition is often used to solve the linear least squares problem and is the basis for a particular eigenvalue algorithm, the QR algorithm. !! These prerequisites are known as (computer) system requirements and are often used as a guideline as opposed to an absolute rule. !! In numerical analysis, finite differences are widely used for approximating derivatives, and the term ""finite difference"" is often used as an abbreviation of ""finite difference approximation of derivatives"". !! An incomplete Cholesky factorization is often used as a preconditioner for algorithms like the conjugate gradient method. !! For example, kinetic data structures are often used with a set of points. !! Computational thinking can be used to algorithmically solve complicated problems of scale, and is often used to realize large improvements in efficiency. !! Amdahl's law is often used in parallel computing to predict the theoretical speedup when using multiple processors. !! Minimum degree algorithms are often used in the finite element method where the reordering of nodes can be carried out depending only on the topology of the mesh, rather than the coefficients in the partial differential equation, resulting in efficiency savings when the same mesh is used for a variety of coefficient values. !! Accessible surface area is often used when calculating the transfer free energy required to move a biomolecule from aqueous solvent to a non-polar solvent such as a lipid environment. !! In the theory of computation, abstract machines are often used in thought experiments regarding computability or to analyze the complexity of algorithms. !! Finite automata are often used in the frontend of programming language compilers. !! Hybrid algorithms are often used for efficiency, to reduce the overhead of recursion in small cases, and arm's-length recursion is a special case of this. !! Error detection and correction codes are often used to improve the reliability of data storage media. !! DLL injection is often used by external programs to influence the behavior of another program in a way its authors did not anticipate or intend. !! In analytic number theory, big O notation is often used to express a bound on the difference between an arithmetical function and a better understood approximation; a famous example of such a difference is the remainder term in the prime number theorem. !! Queueing theory is generally considered a branch of operations research because the results are often used when making business decisions about the resources needed to provide a service."
protein secondary structure,It is recently suggested that (predicted) accessible surface area can be used to improve prediction of protein secondary structure.
improve prediction,It is recently suggested that (predicted) accessible surface area can be used to improve prediction of protein secondary structure.
recently suggested,It is recently suggested that (predicted) accessible surface area can be used to improve prediction of protein secondary structure.
solvent accessible surface area,solvent accessible surface area and excluded volume in proteins.
excluded volume,solvent accessible surface area and excluded volume in proteins.
certain point,"In computing, a stack trace (also called stack backtrace or stack traceback) is a report of the active stack frames at a certain point in time during the execution of a program."
users may see,"End-users may see a stack trace displayed as part of an error message, which the user can then report to a programmer."
necessary condition,Necessary condition: a Hurwitz stable polynomial (with real coefficients) has coefficients of the same sign (either all positive or all negative).
various definitions,"Solution architecture, term used in information technology with various definitions such as; ""A description of a discrete and focused business operation or activity and how IS/IT supports that operation""."
term used,"Polymorphic association is a term used in discussions of Object-Relational Mapping with respect to the problem of representing in the relational database domain, a relationship from one class to multiple classes. !! Solution architecture, term used in information technology with various definitions such as; ""A description of a discrete and focused business operation or activity and how IS/IT supports that operation"". !! In natural language processing (NLP), word embedding is a term used for the representation of words for text analysis, typically in the form of a real-valued vector that encodes the meaning of the word such that the words that are closer in the vector space are expected to be similar in meaning. !! Neural dust is a term used to refer to millimeter-sized devices operated as wirelessly powered nerve sensors; it is a type of braincomputer interface."
following three,"The Open Group's definition of Solution Architecture, as provided above, is accompanied by the following three from Scaled Agile, Gartner and Greefhorst/Proper."
open group,"The Open Group's definition of Solution Architecture, as provided above, is accompanied by the following three from Scaled Agile, Gartner and Greefhorst/Proper. !! Application Response Measurement (ARM) is an open standard published by the Open Group for monitoring and diagnosing performance bottlenecks within complex enterprise applications that use loosely-coupled designs or service-oriented architectures."
specific solution,Gartner (2013) A solution architecture (SA) is an architectural description of a specific solution.
solution within,"As such, it concerns those properties of a solution that are necessary and sufficient to meet its essential requirementsA typical property of Solution Architecture, in contrast to other flavours of Enterprise Architecture, is that it often seeks to define a solution within the context of a project or initiative."
often seeks,"As such, it concerns those properties of a solution that are necessary and sufficient to meet its essential requirementsA typical property of Solution Architecture, in contrast to other flavours of Enterprise Architecture, is that it often seeks to define a solution within the context of a project or initiative."
essential requirementsa typical property,"As such, it concerns those properties of a solution that are necessary and sufficient to meet its essential requirementsA typical property of Solution Architecture, in contrast to other flavours of Enterprise Architecture, is that it often seeks to define a solution within the context of a project or initiative."
observed values,"In machine learning, sequence labeling is a type of pattern recognition task that involves the algorithmic assignment of a categorical label to each member of a sequence of observed values."
common example,"A common example of a sequence labeling task is part of speech tagging, which seeks to assign a part of speech to each word in an input sentence or document."
one per member,"Sequence labeling can be treated as a set of independent classification tasks, one per member of the sequence."
independent classification tasks,"Sequence labeling can be treated as a set of independent classification tasks, one per member of the sequence."
particular word,"The most common statistical models in use for sequence labeling make a Markov assumption, i. e. that the choice of label for a particular word is directly dependent only on the immediately adjacent labels; hence the set of labels forms a Markov chain."
finds use among,There are many different matrix decompositions; each finds use among a particular class of problems.
state diagrams require,"State diagrams require that the system described is composed of a finite number of states; sometimes, this is indeed the case, while at other times this is a reasonable abstraction."
finite number,"A digital signal is a signal that represents data as a sequence of discrete values; at any given time it can only take on, at most, one of a finite number of values. !! State diagrams require that the system described is composed of a finite number of states; sometimes, this is indeed the case, while at other times this is a reasonable abstraction. !! In optimization theory, semi-infinite programming (SIP) is an optimization problem with a finite number of variables and an infinite number of constraints, or an infinite number of variables and a finite number of constraints."
differ slightly,"Many forms of state diagrams exist, which differ slightly and have different semantics."
many forms,"Many forms of state diagrams exist, which differ slightly and have different semantics."
final stage,"The block Lanczos algorithm is amongst the most efficient methods known for finding nullspaces, which is the final stage in integer factorization algorithms such as the quadratic sieve and number field sieve, and its development has been entirely driven by this application."
entirely driven,"The block Lanczos algorithm is amongst the most efficient methods known for finding nullspaces, which is the final stage in integer factorization algorithms such as the quadratic sieve and number field sieve, and its development has been entirely driven by this application."
efficient methods known,"The block Lanczos algorithm is amongst the most efficient methods known for finding nullspaces, which is the final stage in integer factorization algorithms such as the quadratic sieve and number field sieve, and its development has been entirely driven by this application."
also support,"In machine learning, support-vector machines (SVMs, also support-vector networks) are supervised learning models with associated learning algorithms that analyze data for classification and regression analysis."
relatively new area,Posthoc interpretation of support-vector machine models in order to identify features used by the model to make predictions is a relatively new area of research with special significance in the biological sciences.
two different versions,"The fact that the shape context is a rich and discriminative descriptor can be seen in the figure below, in which the shape contexts of two different versions of the letter ""A"" are shown."
representing solutions,"In computer programming, genetic representation is a way of representing solutions/individuals in evolutionary computation methods."
hard problem,Designing a good genetic representation that is expressive and evolvable is a hard problem in evolutionary computation.
main property,The main property that makes these genetic representations convenient is that their parts are easily aligned due to their fixed size.
mental weaknesses,Video game rehabilitation is a process of using common video game consoles and methodology to target and improve physical and mental weaknesses through therapeutic processes.
improve physical,Video game rehabilitation is a process of using common video game consoles and methodology to target and improve physical and mental weaknesses through therapeutic processes.
therapeutic processes,Video game rehabilitation is a process of using common video game consoles and methodology to target and improve physical and mental weaknesses through therapeutic processes.
alternative leisure actives,"Also,Wii Sports in Video Game Rehabilitation benefit the patient's recovery and provide motivation for alternative leisure actives."
video game rehabilitation benefit,"Also,Wii Sports in Video Game Rehabilitation benefit the patient's recovery and provide motivation for alternative leisure actives."
wii sports,"Also,Wii Sports in Video Game Rehabilitation benefit the patient's recovery and provide motivation for alternative leisure actives."
provide motivation,"Also,Wii Sports in Video Game Rehabilitation benefit the patient's recovery and provide motivation for alternative leisure actives."
using video game rehabilitation,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
based conclusions,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
cerebral palsy,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
compare outcomes,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
reach evidence,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
great interest,"While there is great interest in using video game rehabilitation with children with cerebral palsy, it is difficult to compare outcomes between studies, and therefore to reach evidence-based conclusions on its effectiveness."
expanding outside,"Expanding outside of virtual reality and gaming systems, a newer segment of video game rehabilitation focuses on games that can be played on mobile phones or tablet computers - mobile apps."
video game rehabilitation focuses,"Expanding outside of virtual reality and gaming systems, a newer segment of video game rehabilitation focuses on games that can be played on mobile phones or tablet computers - mobile apps."
newer segment,"Expanding outside of virtual reality and gaming systems, a newer segment of video game rehabilitation focuses on games that can be played on mobile phones or tablet computers - mobile apps."
another challenge,"Another challenge in video game rehabilitation, can result to lack of computer skills on the part of therapists, lack of support infrastructure, expensive equipment, inadequate communication infrastructure, and patient safety concerns."
support infrastructure,"Another challenge in video game rehabilitation, can result to lack of computer skills on the part of therapists, lack of support infrastructure, expensive equipment, inadequate communication infrastructure, and patient safety concerns."
expensive equipment,"Another challenge in video game rehabilitation, can result to lack of computer skills on the part of therapists, lack of support infrastructure, expensive equipment, inadequate communication infrastructure, and patient safety concerns."
inadequate communication infrastructure,"Another challenge in video game rehabilitation, can result to lack of computer skills on the part of therapists, lack of support infrastructure, expensive equipment, inadequate communication infrastructure, and patient safety concerns."
richard snodgrass proposed,Richard Snodgrass proposed in 1992 that temporal extensions to SQL be developed by the temporal database community.
typically refers,"The term ""deterministic global optimization"" typically refers to complete or rigorous (see below) optimization methods."
user desires,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
feasible solution,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
typically used,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem. !! Behavior trees employ a well-defined notation to unambiguously represent the hundreds or even thousands of natural language requirements that are typically used to express the stakeholder needs for a large-scale software-integrated system. !! Therefore, brute-force search is typically used when the problem size is limited, or when there are problem-specific heuristics that can be used to reduce the set of candidate solutions to a manageable size. !! Link spectral efficiency is typically used to analyse the efficiency of a digital modulation method or line code, sometimes in combination with a forward error correction (FEC) code and other physical layer overhead. !! The counter machine is typically used in the process of designing parallel algorithms in relation to the mutual exclusion principle. !! Median cut is typically used for color quantization. !! Random-access memory (RAM; ) is a form of computer memory that can be read and changed in any order, typically used to store working data and machine code. !! Code words are typically used for reasons of reliability, clarity, brevity, or secrecy. !! Block diagrams are typically used for higher level, less detailed descriptions that are intended to clarify overall concepts without concern for the details of implementation."
extremely difficult,"Computational archaeology may include the use of geographical information systems (GIS), especially when applied to spatial analyses such as viewshed analysis and least-cost path analysis as these approaches are sufficiently computationally complex that they are extremely difficult if not impossible to implement without the processing power of a computer. !! Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
naturally occurring state described,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
best possible solution,"Deterministic global optimization methods are typically used when locating the global solution is a necessity (i. e. when the only naturally occurring state described by a mathematical model is the global minimum of an optimization problem), when it is extremely difficult to find a feasible solution, or simply when the user desires to locate the best possible solution to a problem."
last two categories,Deterministic global optimization methods typically belong to the last two categories.
remarkably good properties,Lexicographic codes or lexicodes are greedily generated error-correcting codes with remarkably good properties.
closely connected,The theory of lexicographic codes is closely connected to combinatorial game theory.
winning positions,"In particular, the codewords in a binary lexicographic code of distance d encode the winning positions in a variant of Grundy's game, played on a collection of heaps of stones, in which each move consists of replacing any one heap by at most d 1 smaller heaps, and the goal is to take the last stone."
move consists,"In particular, the codewords in a binary lexicographic code of distance d encode the winning positions in a variant of Grundy's game, played on a collection of heaps of stones, in which each move consists of replacing any one heap by at most d 1 smaller heaps, and the goal is to take the last stone."
edges whose removal would partition,"In mathematics, the minimum k-cut, is a combinatorial optimization problem that requires finding a set of edges whose removal would partition the graph to at least k connected components."
requires finding,"In mathematics, the minimum k-cut, is a combinatorial optimization problem that requires finding a set of edges whose removal would partition the graph to at least k connected components."
concept extends,"Most manifold alignment techniques consider only two data sets, but the concept extends to arbitrarily many initial data sets."
indicates whether,"A fuzzy classification corresponds to a membership function that indicates whether an individual is a member of a class, given its fuzzy classification predicate ~."
fuzzy set defined,"The fuzzy classification predicate ~ corresponds to a fuzzy restriction ""i is R"" of U, where R is a fuzzy set defined by a truth function."
also visually,"An immersive virtual musical instrument, or immersive virtual environment for music and sound, represents sound processes and their parameters as 3D entities of a virtual reality so that they can be perceived not only through auditory feedback but also visually in 3D and possibly through tactile as well as haptic feedback, using 3D interface metaphors consisting of interaction techniques such as navigation, selection and manipulation (NSM)."
practices surrounding,"Human-centered computing is usually concerned with systems and practices of technology use while human-computer interaction is more focused on ergonomics and the usability of computing artifacts and information science is focused on practices surrounding the collection, manipulation, and use of information."
usually concerned,"Human-centered computing is usually concerned with systems and practices of technology use while human-computer interaction is more focused on ergonomics and the usability of computing artifacts and information science is focused on practices surrounding the collection, manipulation, and use of information."
practitioners usually come,"Human-centered computing researchers and practitioners usually come from one or more of disciplines such as computer science, human factors, sociology, psychology, cognitive science, anthropology, communication studies, graphic design and industrial design."
specific types,"Specific types of parsimonious reductions may be defined by the computational complexity or other properties of the transformation algorithm. !! The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
specific model,"The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
predominantly expressed,"The network architecture of the Internet is predominantly expressed by its use of the Internet protocol suite, rather than a specific model for interconnecting networks or nodes in the network, or the usage of specific types of hardware links."
often referred,"The same problem may have multiple distinct neighborhoods defined on it; local optimization with neighborhoods that involve changing up to k components of the solution is often referred to as k-opt. !! The contents of the database are encrypted using a symmetric key that is often referred to as a ""database encryption key"". !! In distributed computing, the network architecture often describes the structure and classification of a distributed application architecture, as the participating nodes in a distributed application are often referred to as a network. !! The boundaries of the polytopes, the data dependencies, and the transformations are often described using systems of constraints, and this approach is often referred to as a constraint-based approach to loop optimization."
required distinguishing spaces,"Geometric topology as an area distinct from algebraic topology may be said to have originated in the 1935 classification of lens spaces by Reidemeister torsion, which required distinguishing spaces that are homotopy equivalent but not homeomorphic."
area distinct,"Geometric topology as an area distinct from algebraic topology may be said to have originated in the 1935 classification of lens spaces by Reidemeister torsion, which required distinguishing spaces that are homotopy equivalent but not homeomorphic."
reidemeister torsion,"Geometric topology as an area distinct from algebraic topology may be said to have originated in the 1935 classification of lens spaces by Reidemeister torsion, which required distinguishing spaces that are homotopy equivalent but not homeomorphic."
perfectly reconstructed,Lossless compression is a class of data compression that allows the original data to be perfectly reconstructed from the compressed data.
two things,"Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data."
second step uses,"Most lossless compression programs do two things in sequence: the first step generates a statistical model for the input data, and the second step uses this model to map input data to bit sequences in such a way that ""probable"" (e. g. frequently encountered) data will produce shorter output than ""improbable"" data."
formally speaking,"Finite-state machine-based programming is generally the same, but, formally speaking, does not cover all possible variants, as FSM stands for finite-state machine, and automata-based programming does not necessarily employ FSMs in the strict sense."
possible variants,"Finite-state machine-based programming is generally the same, but, formally speaking, does not cover all possible variants, as FSM stands for finite-state machine, and automata-based programming does not necessarily employ FSMs in the strict sense."
thinking used,"Another reason for using the notion of automata-based programming is that the programmer's style of thinking about the program in this technique is very similar to the style of thinking used to solve mathematical tasks using Turing machines, Markov algorithms, etc."
another reason,"Another reason for using the notion of automata-based programming is that the programmer's style of thinking about the program in this technique is very similar to the style of thinking used to solve mathematical tasks using Turing machines, Markov algorithms, etc."
widely used,"Different syntaxes for writing regular expressions have existed since the 1980s, one being the POSIX standard and another, widely used, being the Perl syntax. !! Householder transformations are widely used in numerical linear algebra, for example, to annihilate the entries below the main diagonal of a matrix, to perform QR decompositions and in the first step of the QR algorithm. !! Evidence shows that software metrics are being widely used by government agencies, the US military, NASA, IT consultants, academic institutions, and commercial and academic development estimation software. !! Nonlinear optimization methods are widely used in conformational analysis. !! In numerical analysis, finite differences are widely used for approximating derivatives, and the term ""finite difference"" is often used as an abbreviation of ""finite difference approximation of derivatives"". !! Although the mean shift algorithm has been widely used in many applications, a rigid proof for the convergence of the algorithm using a general kernel in a high dimensional space is still not known. !! A well-known example implicitly using additive state decomposition is the Superposition Principle, widely used in physics and engineering. !! However, typical research in quantum neural networks involves combining classical artificial neural network models (which are widely used in machine learning for the important task of pattern recognition) with the advantages of quantum information in order to develop more efficient algorithms. !! Automata-based programming is widely used in lexical and syntactic analyses. !! Computer algebra is widely used to experiment in mathematics and to design the formulas that are used in numerical programs. !! A probabilistic neural network (PNN) is a feedforward neural network, which is widely used in classification and pattern recognition problems. !! Because the spectral centroid is a good predictor of the ""brightness"" of a sound, it is widely used in digital audio and music processing as an automatic measure of musical timbre. !! Therefore, a subobject classifier is also known as a ""truth value object"" and the concept is widely used in the categorical description of logic."
person perceives,"User experience evaluation (UXE) or user experience assessment (UXA) refers to a collection of methods, skills and tools utilized to uncover how a person perceives a system (product, service, non-commercial item, or a combination of them) before, during and after interacting with it."
centered design practices,"User experience evaluation has become common practice in web design, especially within organizations implementing user-centered design practices."
become common practice,"User experience evaluation has become common practice in web design, especially within organizations implementing user-centered design practices."
major problem,Data sparsity is a major problem in building language models.
beyond compare,"Some widely used file comparison programs are diff, cmp, FileMerge, WinMerge, Beyond Compare, and File Compare."
