Phrase,Probablity,Attention
local regression,0.4631039500236511,"0.5657, 0.1293, 0.1207, 0.0845, 0.0997"
buffer overflowsruntime error detection tools,0.38966935873031616,"0.0221, 0.0052, 0.0001, 0.0061, 0.9666"
code modulation,0.4914194643497467,"0.0001, 0.0310, 0.1401, 0.3568, 0.4720"
data processing industry,0.48794272541999817,"0.0002, 0.0006, 0.9285, 0.0492, 0.0215"
tech mining,0.34436261653900146,"0.0034, 0.0137, 0.7249, 0.1984, 0.0596"
cut theorem,0.3962939381599426,"0.0491, 0.0097, 0.6343, 0.2112, 0.0957"
fitts's law,0.01002386212348938,"0.9985, 0.0002, 0.0012, 0.0001, 0.0000"
technology mining,0.4343005418777466,"0.0002, 0.0076, 0.6105, 0.2619, 0.1199"
tensor product,0.3966560959815979,"0.0034, 0.1967, 0.4623, 0.2073, 0.1303"
reverse indexes,0.302909255027771,"0.0005, 0.0931, 0.6530, 0.1953, 0.0580"
operating system,0.2205994427204132,"0.9988, 0.0002, 0.0002, 0.0003, 0.0005"
mathematical analysis,0.49928197264671326,"0.0226, 0.4698, 0.3821, 0.0880, 0.0375"
condition code register,0.2473042905330658,"0.9402, 0.0002, 0.0049, 0.0162, 0.0385"
single nearest neighbor,0.05896845459938049,"0.1103, 0.8526, 0.0083, 0.0271, 0.0017"
system level analysis,0.4671914577484131,"0.0014, 0.0720, 0.3551, 0.4360, 0.1355"
single core cpu,0.12849169969558716,"0.9683, 0.0309, 0.0008, 0.0001, 0.0000"
evidence toolkit,0.45245125889778137,"0.9421, 0.0003, 0.0104, 0.0148, 0.0324"
uninitialized pointer,0.018231630325317383,"0.9595, 0.0138, 0.0154, 0.0069, 0.0044"
truth value,0.3606452941894531,"0.0035, 0.4795, 0.2962, 0.1271, 0.0937"
cognitive science,0.4862307608127594,"0.0092, 0.5175, 0.3049, 0.1033, 0.0650"
heterogeneous environment,0.4984634220600128,"0.0040, 0.3150, 0.3482, 0.1830, 0.1498"
conventional dynamic memory allocation libraries,0.11310622096061707,"0.9482, 0.0003, 0.0002, 0.0001, 0.0511"
application crashing,0.42968663573265076,"0.4774, 0.2287, 0.0497, 0.0841, 0.1601"
ram usage,0.4094412922859192,"0.0008, 0.5204, 0.2235, 0.1228, 0.1326"
global view,0.43922194838523865,"0.0434, 0.0715, 0.3318, 0.2790, 0.2742"
bit manipulation,0.4541154205799103,"0.1094, 0.0118, 0.3763, 0.2665, 0.2359"
gap analysis,0.43720343708992004,"0.8761, 0.0627, 0.0401, 0.0120, 0.0091"
system performance,0.3668665885925293,"0.0136, 0.6874, 0.1453, 0.0830, 0.0707"
least square estimators,0.0157090425491333,"0.0193, 0.9621, 0.0186, 0.0001, 0.0000"
compute arithmetic operations,0.4650670886039734,"0.0036, 0.0201, 0.0668, 0.7078, 0.2018"
decision making problems,0.011828780174255371,"0.0004, 0.8967, 0.0512, 0.0368, 0.0149"
ux design,0.44415268301963806,"0.0696, 0.0587, 0.4070, 0.2539, 0.2107"
receive quality metric,0.34181180596351624,"0.0008, 0.0060, 0.9769, 0.0155, 0.0008"
meta learning,0.45094531774520874,"0.0847, 0.3178, 0.4077, 0.1190, 0.0709"
internet service providers,0.08311319351196289,"0.1562, 0.1265, 0.7140, 0.0019, 0.0013"
bounds checking,0.4534468948841095,"0.0002, 0.5761, 0.2958, 0.0933, 0.0347"
intelligent agents,0.4211834669113159,"0.0196, 0.1581, 0.3419, 0.2662, 0.2142"
amazon prime video,0.09597781300544739,"0.9725, 0.0261, 0.0002, 0.0004, 0.0008"
extended binary trees,0.45302504301071167,"0.8172, 0.0003, 0.0021, 0.0729, 0.1076"
algorithm design technique,0.45513737201690674,"0.0000, 0.0048, 0.4535, 0.3977, 0.1440"
scientific study,0.07465553283691406,"0.0497, 0.9470, 0.0030, 0.0002, 0.0000"
dma attacks,0.3760073184967041,"0.0956, 0.2880, 0.2584, 0.1976, 0.1604"
distributed application,0.4633316695690155,"0.5653, 0.0953, 0.0543, 0.0958, 0.1892"
distributed key generation,0.29420292377471924,"0.0177, 0.0717, 0.2384, 0.4833, 0.1890"
priority queues,0.1687532663345337,"0.4777, 0.2008, 0.2179, 0.0730, 0.0306"
lookup tables,0.468513548374176,"0.0370, 0.1765, 0.6537, 0.1021, 0.0307"
complex functions,0.43528157472610474,"0.0123, 0.0012, 0.5682, 0.2730, 0.1453"
main stack register,0.3350681960582733,"0.9880, 0.0007, 0.0010, 0.0029, 0.0074"
compressed suffix array,0.39345836639404297,"0.0003, 0.0022, 0.0045, 0.6773, 0.3157"
unrolled linked lists,0.48039278388023376,"0.0001, 0.0001, 0.0069, 0.6916, 0.3014"
random subset,0.4593700170516968,"0.0072, 0.2335, 0.3182, 0.2352, 0.2059"
exhaustive search,0.25235551595687866,"0.0673, 0.6305, 0.2694, 0.0272, 0.0056"
edge contraction,0.21037420630455017,"0.1038, 0.7225, 0.1415, 0.0263, 0.0058"
big data applications,0.17294171452522278,"0.4738, 0.4282, 0.0974, 0.0005, 0.0001"
recommendation systems,0.33295848965644836,"0.9507, 0.0010, 0.0102, 0.0143, 0.0239"
structure mining,0.41167396306991577,"0.0001, 0.0176, 0.7177, 0.1989, 0.0658"
serial manipulators,0.25338369607925415,"0.8636, 0.0008, 0.0424, 0.0411, 0.0521"
system usability scale,0.3437877297401428,"0.0006, 0.0002, 0.5211, 0.3405, 0.1376"
applied mathematics,0.07196936011314392,"0.2652, 0.2508, 0.4506, 0.0307, 0.0027"
text mining,0.48101842403411865,"0.0003, 0.0109, 0.6492, 0.2372, 0.1024"
block range index,0.12460517883300781,"0.0000, 0.0015, 0.3326, 0.6139, 0.0520"
ai control problem,0.42691317200660706,"0.0102, 0.0002, 0.0541, 0.5504, 0.3852"
division algorithms fall,0.2700609564781189,"0.0000, 0.0000, 0.8981, 0.0731, 0.0288"
batch learning techniques,0.32495084404945374,"0.0068, 0.0252, 0.9024, 0.0525, 0.0131"
child vertices,0.37140709161758423,"0.0051, 0.0364, 0.6201, 0.2314, 0.1070"
amd accelerated processing unit,0.41962748765945435,"0.0014, 0.0174, 0.0005, 0.1672, 0.8135"
category theory,0.23431706428527832,"0.5405, 0.0273, 0.2680, 0.0995, 0.0649"
hurwitz stable,0.10265779495239258,"0.3039, 0.5711, 0.0917, 0.0246, 0.0087"
speech activity detection,0.36924538016319275,"0.1327, 0.1516, 0.3849, 0.2501, 0.0806"
joint entropies,0.034100234508514404,"0.0028, 0.9798, 0.0140, 0.0027, 0.0007"
nonorthogonal problems,0.2020224630832672,"0.0413, 0.4122, 0.3347, 0.1321, 0.0797"
bernstein polynomials,0.30814099311828613,"0.2104, 0.3184, 0.3367, 0.1004, 0.0341"
human learning,0.30834120512008667,"0.1444, 0.4395, 0.3318, 0.0606, 0.0236"
division multiplexing,0.4341006278991699,"0.0757, 0.0710, 0.2586, 0.3055, 0.2892"
adaptive equalizers,0.4775821268558502,"0.0011, 0.2618, 0.2743, 0.2514, 0.2113"
randomized meldable priority queue,0.07818681001663208,"0.0006, 0.8386, 0.0502, 0.0270, 0.0837"
objective function,0.4976315200328827,"0.0055, 0.0007, 0.5734, 0.2627, 0.1578"
range queries,0.46646648645401,"0.1370, 0.0582, 0.4785, 0.2039, 0.1225"
negative transfer learning,0.16455987095832825,"0.7960, 0.0288, 0.0352, 0.0946, 0.0453"
abstract state machines,0.47986680269241333,"0.0004, 0.0007, 0.4452, 0.3760, 0.1777"
nearest neighbor problem,0.09226301312446594,"0.0493, 0.0014, 0.4096, 0.4827, 0.0569"
minimum message length,0.021145939826965332,"0.0662, 0.0074, 0.9163, 0.0099, 0.0003"
gibbs sampling,0.41308316588401794,"0.5466, 0.3794, 0.0381, 0.0186, 0.0173"
pattern matching,0.21992850303649902,"0.0000, 0.8082, 0.1559, 0.0275, 0.0085"
enhanced double hashing,0.0547637939453125,"0.3433, 0.5952, 0.0101, 0.0472, 0.0043"
finite graph,0.4453793168067932,"0.4773, 0.0099, 0.3444, 0.1107, 0.0577"
physical memory,0.08809679746627808,"0.9901, 0.0019, 0.0058, 0.0014, 0.0008"
octave scripting language,0.37151485681533813,"0.0671, 0.0035, 0.0040, 0.6497, 0.2758"
cholesky factor,0.3649151921272278,"0.0195, 0.6780, 0.1670, 0.0793, 0.0562"
eager learning,0.061707139015197754,"0.7940, 0.1373, 0.0600, 0.0070, 0.0017"
acoustic model,0.344462126493454,"0.9687, 0.0049, 0.0120, 0.0071, 0.0073"
web pages,0.48200997710227966,"0.0013, 0.7582, 0.0647, 0.0688, 0.1069"
basic function,0.42899930477142334,"0.0136, 0.0007, 0.5918, 0.2608, 0.1332"
special memory allocation libraries,0.025175541639328003,"0.9931, 0.0006, 0.0000, 0.0054, 0.0009"
fp discovery,0.40728500485420227,"0.0094, 0.4753, 0.3103, 0.1222, 0.0828"
term complex data type,0.39643189311027527,"0.0056, 0.0519, 0.1324, 0.7807, 0.0293"
transformation rules,0.2904546856880188,"0.0035, 0.0086, 0.6425, 0.2405, 0.1049"
displaying data,0.4378875195980072,"0.3165, 0.4275, 0.1970, 0.0407, 0.0183"
serial manipulator,0.3219473361968994,"0.8360, 0.0005, 0.0398, 0.0468, 0.0769"
flow diagram,0.30093997716903687,"0.9366, 0.0175, 0.0280, 0.0100, 0.0079"
single core processors,0.160755455493927,"0.9649, 0.0335, 0.0016, 0.0001, 0.0000"
portable distributed objects,0.1402745246887207,"0.3253, 0.0008, 0.0358, 0.5672, 0.0708"
computability logic homepage comprehensive survey,0.47688016295433044,"0.0000, 0.0001, 0.0003, 0.0592, 0.9404"
confidence score,0.26421964168548584,"0.5675, 0.4140, 0.0097, 0.0046, 0.0043"
cluster centers,0.07774093747138977,"0.0009, 0.9807, 0.0120, 0.0040, 0.0025"
private key set,0.37869396805763245,"0.0174, 0.1064, 0.2074, 0.3946, 0.2743"
source programs,0.0691339373588562,"0.9989, 0.0006, 0.0002, 0.0001, 0.0002"
continuous unimodal function,0.3556287884712219,"0.2053, 0.0359, 0.0005, 0.4817, 0.2766"
quantum information,0.2949119806289673,"0.0124, 0.5937, 0.2266, 0.0945, 0.0728"
monic polynomials,0.1821863353252411,"0.2648, 0.5260, 0.1796, 0.0250, 0.0047"
belief network,0.3837781250476837,"0.9882, 0.0022, 0.0018, 0.0024, 0.0054"
empty set,0.2917846143245697,"0.2049, 0.1861, 0.3266, 0.1723, 0.1100"
spice protocol,0.2245263159275055,"0.9375, 0.0018, 0.0125, 0.0175, 0.0307"
hidden layers,0.4998835623264313,"0.0028, 0.6105, 0.2567, 0.0899, 0.0401"
joint density,0.37027469277381897,"0.0003, 0.5569, 0.3107, 0.0918, 0.0403"
exact function,0.32305908203125,"0.3570, 0.0016, 0.4777, 0.1156, 0.0481"
world wide web,0.12048414349555969,"0.0015, 0.9958, 0.0012, 0.0013, 0.0002"
rnyi information dimension,0.19653856754302979,"0.7516, 0.0717, 0.0154, 0.0899, 0.0714"
synthetic consciousness,0.46965292096138,"0.0338, 0.3567, 0.1824, 0.1782, 0.2489"
left stochastic matrix,0.295565128326416,"0.9901, 0.0001, 0.0000, 0.0048, 0.0050"
computer skills,0.46283912658691406,"0.0166, 0.7185, 0.1331, 0.0740, 0.0578"
mathematical study,0.06014460325241089,"0.0004, 0.9957, 0.0037, 0.0003, 0.0000"
n log n comparisons,0.2202204465866089,"0.0004, 0.0000, 0.0150, 0.9800, 0.0047"
training time,0.24659019708633423,"0.4982, 0.1420, 0.3068, 0.0434, 0.0096"
Node Link,0.3879622519016266,"0.0001, 0.1267, 0.3655, 0.3079, 0.1998"
maximum likelihood,0.29591718316078186,"0.9697, 0.0302, 0.0001, 0.0000, 0.0000"
image file formats,0.24164584279060364,"0.1870, 0.7588, 0.0501, 0.0031, 0.0009"
complex event processing,0.35907161235809326,"0.0214, 0.0704, 0.0811, 0.7355, 0.0917"
vague set,0.06373769044876099,"0.8951, 0.0466, 0.0358, 0.0137, 0.0088"
technology information,0.3254908323287964,"0.1172, 0.4961, 0.1978, 0.0965, 0.0924"
optimal solution,0.11925694346427917,"0.0265, 0.2996, 0.5549, 0.0991, 0.0199"
classification performance,0.4791478216648102,"0.0024, 0.7945, 0.1133, 0.0511, 0.0386"
computing resources,0.26911985874176025,"0.0010, 0.9453, 0.0297, 0.0136, 0.0104"
conjunctive normal form,0.021416187286376953,"0.0529, 0.4684, 0.4669, 0.0092, 0.0024"
file overwrites,0.3226909637451172,"0.9995, 0.0000, 0.0001, 0.0001, 0.0003"
data flows,0.19779285788536072,"0.0001, 0.9987, 0.0010, 0.0001, 0.0001"
augmented reality,0.04166409373283386,"0.5123, 0.4160, 0.0438, 0.0160, 0.0119"
back end,0.008253484964370728,"0.5431, 0.4391, 0.0151, 0.0021, 0.0006"
dimensional optimization problem,0.4467470049858093,"0.0001, 0.0004, 0.1257, 0.6193, 0.2545"
backward euler method,0.39468395709991455,"0.1105, 0.1470, 0.0863, 0.4562, 0.1999"
proxy pattern,0.4389829635620117,"0.0052, 0.0041, 0.5004, 0.2863, 0.2040"
parsimonious reductions,0.16328567266464233,"0.0609, 0.5977, 0.2385, 0.0745, 0.0284"
common language runtime,0.30348098278045654,"0.0047, 0.0030, 0.9176, 0.0593, 0.0154"
sort keys,0.34651628136634827,"0.0008, 0.5262, 0.3315, 0.1041, 0.0374"
priority queue based data structure,0.2011348307132721,"0.1201, 0.0160, 0.1326, 0.0475, 0.6838"
natural language text,0.47475987672805786,"0.0005, 0.0005, 0.3045, 0.5086, 0.1859"
information security,0.2435261309146881,"0.6032, 0.0272, 0.1301, 0.1126, 0.1269"
frequent pattern discovery,0.07866781949996948,"0.0203, 0.0002, 0.8825, 0.0883, 0.0086"
bit string,0.33041635155677795,"0.0029, 0.0346, 0.6265, 0.2493, 0.0867"
optimization problems,0.456790566444397,"0.0007, 0.1960, 0.4054, 0.2378, 0.1602"
membership inference,0.1371529996395111,"0.9184, 0.0042, 0.0117, 0.0174, 0.0484"
audit trail records,0.27055490016937256,"0.0120, 0.4395, 0.5470, 0.0012, 0.0002"
analog recording,0.1616516411304474,"0.5149, 0.4841, 0.0007, 0.0002, 0.0001"
meldable heap implementation,0.15627437829971313,"0.6215, 0.0025, 0.1351, 0.1268, 0.1141"
scalar response,0.24396750330924988,"0.0050, 0.3112, 0.3863, 0.1872, 0.1103"
classification criteria,0.17942845821380615,"0.0007, 0.9588, 0.0276, 0.0082, 0.0048"
address pool,0.14307311177253723,"0.0539, 0.8772, 0.0445, 0.0155, 0.0089"
evolution strategies,0.1239689290523529,"0.0341, 0.7993, 0.1070, 0.0388, 0.0208"
test bits,0.1360471546649933,"0.9213, 0.0700, 0.0075, 0.0011, 0.0003"
runtime environment,0.2861550748348236,"0.1111, 0.4863, 0.2820, 0.0814, 0.0392"
abstract algebra,0.4650452136993408,"0.0007, 0.0062, 0.4859, 0.3120, 0.1953"
extensible encoding system,0.3880159258842468,"0.9756, 0.0103, 0.0026, 0.0048, 0.0066"
boundary singularity,0.4084591567516327,"0.0090, 0.5993, 0.1644, 0.1060, 0.1213"
statistical model comparison,0.21658971905708313,"0.0034, 0.0001, 0.9844, 0.0084, 0.0038"
linear combination,0.3153156638145447,"0.0009, 0.7823, 0.0592, 0.0586, 0.0991"
max-flow min-cut theorem,0.1971009373664856,"0.1639, 0.0875, 0.0190, 0.6454, 0.0842"
mobile software agent,0.4788401126861572,"0.9294, 0.0003, 0.0002, 0.0165, 0.0536"
quality metrics,0.4675443768501282,"0.0077, 0.9548, 0.0334, 0.0035, 0.0006"
weighted round robin,0.05437895655632019,"0.0018, 0.4786, 0.4978, 0.0204, 0.0014"
advanced computing environment,0.3175519108772278,"0.8222, 0.0039, 0.1304, 0.0355, 0.0080"
data type constrains,0.42153048515319824,"0.0495, 0.7688, 0.0106, 0.0864, 0.0847"
advanced encryption standard,0.010225564241409302,"0.9960, 0.0001, 0.0037, 0.0001, 0.0000"
disk hardware encryption,0.38966503739356995,"0.9591, 0.0402, 0.0001, 0.0002, 0.0005"
electronic signatures,0.04068613052368164,"0.4802, 0.5166, 0.0026, 0.0005, 0.0001"
spanning trees,0.4099791347980499,"0.5803, 0.0654, 0.2711, 0.0578, 0.0254"
reverse lookup,0.128129243850708,"0.0005, 0.8831, 0.0859, 0.0213, 0.0092"
javascript pseudorandom number generators,0.4385007619857788,"0.0000, 0.0000, 0.0083, 0.3202, 0.6715"
immutable objects,0.3256551921367645,"0.0001, 0.0105, 0.6820, 0.2244, 0.0830"
local minima,0.2738761901855469,"0.1493, 0.1518, 0.4264, 0.1784, 0.0940"
digital  web pages,0.40570151805877686,"0.0475, 0.0289, 0.0012, 0.8474, 0.0750"
sorting lists,0.46678808331489563,"0.0000, 0.0152, 0.7632, 0.1696, 0.0520"
finite automata theory,0.40120071172714233,"0.5581, 0.0000, 0.0126, 0.2589, 0.1704"
streaming media,0.2561953365802765,"0.8820, 0.1164, 0.0012, 0.0003, 0.0001"
mean shift algorithm,0.4585132598876953,"0.8394, 0.0067, 0.0009, 0.1201, 0.0328"
distributed object communication,0.4575097858905792,"0.0013, 0.0031, 0.1146, 0.5554, 0.3256"
delta encoding,0.21561193466186523,"0.9916, 0.0006, 0.0045, 0.0019, 0.0013"
mobile computing devices,0.19550159573554993,"0.0014, 0.0010, 0.9731, 0.0184, 0.0061"
entanglement measurement,0.15505969524383545,"0.0000, 0.9790, 0.0198, 0.0011, 0.0001"
classic ad hoc,0.010991990566253662,"0.1740, 0.0480, 0.6893, 0.0843, 0.0043"
meldable heap,0.3193654417991638,"0.6283, 0.0039, 0.0811, 0.1012, 0.1855"
known classes,0.013296782970428467,"0.9881, 0.0078, 0.0036, 0.0004, 0.0001"
minimum k-cut,0.08659973740577698,"0.3282, 0.6585, 0.0122, 0.0009, 0.0001"
sibling calls,0.195256769657135,"0.0717, 0.4112, 0.2879, 0.1356, 0.0935"
imperative features,0.044991493225097656,"0.0430, 0.8898, 0.0595, 0.0061, 0.0017"
mathematical constructors,0.19689279794692993,"0.0199, 0.0710, 0.6621, 0.1902, 0.0568"
accurate identification method,0.30851274728775024,"0.9669, 0.0168, 0.0040, 0.0088, 0.0036"
stochastic optimal control,0.46617409586906433,"0.0080, 0.5444, 0.0075, 0.1720, 0.2681"
runtime efficiency,0.34826406836509705,"0.2564, 0.4446, 0.2138, 0.0622, 0.0230"
time delays,0.4925384819507599,"0.0989, 0.2590, 0.3397, 0.1805, 0.1218"
polynomial expression,0.46003732085227966,"0.0010, 0.0787, 0.6867, 0.1752, 0.0585"
brute-force search,0.36954617500305176,"0.0000, 0.2138, 0.5814, 0.1571, 0.0477"
numerical method,0.49416297674179077,"0.0042, 0.0557, 0.4794, 0.2677, 0.1930"
math functions,0.32450181245803833,"0.0052, 0.0014, 0.6580, 0.2472, 0.0883"
managed code,0.37032175064086914,"0.4527, 0.0001, 0.0953, 0.1693, 0.2826"
functional presence engine,0.18827396631240845,"0.0001, 0.1862, 0.7754, 0.0327, 0.0055"
revision control software,0.1358177661895752,"0.9746, 0.0126, 0.0003, 0.0024, 0.0101"
proxy object,0.38189736008644104,"0.0076, 0.0060, 0.5158, 0.2802, 0.1905"
zero fields,0.0910423994064331,"0.0115, 0.6297, 0.3363, 0.0212, 0.0013"
scientific method,0.43996697664260864,"0.8157, 0.0283, 0.0975, 0.0360, 0.0226"
DMA attack,0.3040708303451538,"0.0109, 0.2162, 0.4179, 0.2272, 0.1278"
bernstein basis polynomials,0.37785351276397705,"0.1594, 0.0227, 0.4400, 0.2877, 0.0902"
euclidean division,0.47475865483283997,"0.0302, 0.1550, 0.3925, 0.2451, 0.1772"
neighbouring vertices,0.31924402713775635,"0.0332, 0.0541, 0.6565, 0.1887, 0.0675"
progressive networks,0.27188658714294434,"0.9157, 0.0081, 0.0272, 0.0222, 0.0268"
association rule learning,0.46105867624282837,"0.0000, 0.0000, 0.4201, 0.4617, 0.1181"
knapsack problem,0.3290373682975769,"0.0178, 0.1561, 0.5231, 0.1999, 0.1031"
probability density proportional,0.4664779603481293,"0.0006, 0.0697, 0.8041, 0.0750, 0.0507"
error message,0.4927200376987457,"0.0242, 0.2510, 0.2501, 0.2320, 0.2427"
message authentication codes,0.3250958323478699,"0.9775, 0.0009, 0.0000, 0.0055, 0.0161"
private key,0.495900422334671,"0.0375, 0.3878, 0.2074, 0.1737, 0.1936"
finite element methods,0.07825967669487,"0.0894, 0.0029, 0.7248, 0.1681, 0.0149"
ambient networks,0.47985726594924927,"0.9965, 0.0009, 0.0013, 0.0006, 0.0005"
data encryption standard,0.44553112983703613,"0.3766, 0.0094, 0.5403, 0.0483, 0.0254"
analog filters,0.33708420395851135,"0.3723, 0.0281, 0.3117, 0.1924, 0.0955"
physical qualities,0.01028507947921753,"0.0219, 0.9773, 0.0008, 0.0000, 0.0000"
amdahl's law,0.19796383380889893,"0.0305, 0.0250, 0.6321, 0.2237, 0.0887"
bit manipulations,0.44415709376335144,"0.1159, 0.0096, 0.3832, 0.2623, 0.2289"
gap analysis naturally flows,0.11082065105438232,"0.0019, 0.0003, 0.0061, 0.9912, 0.0004"
side channel attack,0.003933370113372803,"0.9985, 0.0006, 0.0006, 0.0002, 0.0000"
thus trees,0.0673888623714447,"0.9618, 0.0062, 0.0219, 0.0060, 0.0041"
bonferroni testing,0.46726539731025696,"0.0093, 0.9429, 0.0268, 0.0125, 0.0085"
complex vector spaces,0.46879249811172485,"0.0031, 0.0001, 0.2291, 0.5644, 0.2033"
background assumption,0.4283854067325592,"0.5837, 0.0360, 0.1272, 0.0955, 0.1576"
prune and search,0.06183984875679016,"0.0000, 0.1052, 0.7432, 0.1447, 0.0068"
adjacent vertices,0.03964582085609436,"0.6359, 0.0500, 0.2671, 0.0390, 0.0080"
adaptive equalizer,0.4552105963230133,"0.0008, 0.2862, 0.2839, 0.2450, 0.1842"
internet route objects,0.49665239453315735,"0.0002, 0.0001, 0.0103, 0.7038, 0.2856"
integrated computational materials engineering,0.13688918948173523,"0.0053, 0.0000, 0.0273, 0.7360, 0.2314"
structural induction,0.2952868342399597,"0.1532, 0.5065, 0.2039, 0.0850, 0.0515"
current databases,0.4854676127433777,"0.7000, 0.0089, 0.0962, 0.0857, 0.1092"
logical calculi,0.2524275481700897,"0.0400, 0.8636, 0.0490, 0.0248, 0.0225"
method call,0.44470542669296265,"0.0050, 0.1278, 0.3962, 0.2648, 0.2061"
inverse system,0.49038949608802795,"0.8780, 0.0134, 0.0259, 0.0317, 0.0510"
bit twiddling,0.3947642743587494,"0.1780, 0.0109, 0.2524, 0.2870, 0.2717"
descriptive statistics,0.23009318113327026,"0.0097, 0.9856, 0.0035, 0.0008, 0.0004"
labeled data,0.44543588161468506,"0.1855, 0.5580, 0.2042, 0.0369, 0.0153"
flowers method,0.20579195022583008,"0.7932, 0.0512, 0.1214, 0.0257, 0.0084"
connected wireless device,0.06635981798171997,"0.0720, 0.0523, 0.8648, 0.0099, 0.0010"
traditional computer networking,0.37892279028892517,"0.6805, 0.2452, 0.0048, 0.0237, 0.0458"
classical backpropagation rule,0.44453996419906616,"0.0029, 0.0029, 0.0006, 0.6816, 0.3120"
fortran basic linear algebra subprograms,0.3706279695034027,"0.0057, 0.9827, 0.0007, 0.0006, 0.0103"
proof method,0.4024643301963806,"0.6812, 0.0337, 0.1474, 0.0730, 0.0648"
digital signatures,0.06789490580558777,"0.0745, 0.9116, 0.0087, 0.0034, 0.0017"
value distribution,0.2913697361946106,"0.5980, 0.1307, 0.1648, 0.0657, 0.0407"
structural recursion,0.3993435502052307,"0.0093, 0.0057, 0.4195, 0.3199, 0.2456"
state machine operating,0.39920270442962646,"0.0007, 0.0820, 0.8979, 0.0092, 0.0102"
